Gene stable ID,Drosophila melanogaster - (Fruit fly) gene name,Drosophila melanogaster - (Fruit fly) gene stable ID,"Drosophila melanogaster - (Fruit fly) orthology confidence [0 low, 1 high]",Drosophila melanogaster - (Fruit fly) homology type
LOC4800665,CG14610,FBgn0037477,0,ortholog_one2many
LOC6900072,Con,FBgn0005775,1,ortholog_one2one
LOC6903464,Su(H),FBgn0004837,1,ortholog_one2one
LOC4803658,cer,FBgn0034443,1,ortholog_one2one
LOC4803733,Gr59b,FBgn0045482,1,ortholog_one2one
LOC4805224,Alp2,FBgn0283480,1,ortholog_one2many
LOC4805224,Alp8,FBgn0034712,1,ortholog_one2many
LOC4813399,Tmhs,FBgn0262624,1,ortholog_one2one
LOC26532264,CG13285,FBgn0035611,1,ortholog_one2one
LOC4816407,CG9008,FBgn0028540,1,ortholog_one2one
LOC6898277,CG42837,FBgn0262026,1,ortholog_one2one
LOC6897864,alpha-Est6,FBgn0015574,1,ortholog_one2one
LOC4813265,Grip163,FBgn0026432,1,ortholog_one2one
LOC4817633,Or22b,FBgn0026397,0,ortholog_many2many
LOC4817633,Or22a,FBgn0026398,0,ortholog_many2many
LOC4815690,CG1662,FBgn0030481,1,ortholog_one2one
LOC4802721,Pbp95,FBgn0037540,1,ortholog_one2one
LOC4800380,PH4alphaNE1,FBgn0039780,1,ortholog_one2one
LOC4804850,Pms2,FBgn0011660,1,ortholog_one2one
LOC4812371,Rexo5,FBgn0286051,1,ortholog_one2one
LOC4812629,laza,FBgn0037163,1,ortholog_one2one
LOC6903438,CG42784,FBgn0263354,0,ortholog_one2one
LOC6902399,CG9568,FBgn0032087,1,ortholog_one2many
LOC4813817,Tasp1,FBgn0263602,1,ortholog_one2one
LOC4805263,Gr58a,FBgn0041239,1,ortholog_one2one
LOC4803060,CG17199,FBgn0038775,1,ortholog_one2one
LOC6903259,CG5245,FBgn0038047,0,ortholog_one2many
LOC4812083,CG5104,FBgn0037009,1,ortholog_one2one
LOC26534452,l(2)41Ab,FBgn0262123,0,ortholog_one2one
LOC6899796,CG13096,FBgn0032050,1,ortholog_one2one
LOC4813423,Ppat-Dpck,FBgn0035632,1,ortholog_one2one
LOC4813724,skd,FBgn0003415,1,ortholog_one2one
LOC6901591,Crag,FBgn0025864,1,ortholog_one2one
LOC4802010,CG9588,FBgn0038166,1,ortholog_one2one
LOC4817198,Tbcd,FBgn0027509,1,ortholog_one2one
LOC4815167,CG15199,FBgn0030270,1,ortholog_one2one
LOC4815604,norpA,FBgn0262738,1,ortholog_one2one
LOC4812221,Tim13,FBgn0036204,1,ortholog_one2one
LOC6903343,bchs,FBgn0043362,1,ortholog_one2one
LOC4817073,yellow-b,FBgn0032601,1,ortholog_one2one
LOC6898455,CG32117,FBgn0052117,0,ortholog_one2many
LOC6898455,uno,FBgn0033258,1,ortholog_one2many
LOC4800724,CG31204,FBgn0051204,1,ortholog_one2one
LOC4813303,Wdr92,FBgn0036771,1,ortholog_one2one
LOC4815860,kdn,FBgn0261955,1,ortholog_one2one
LOC6902051,RpL30,FBgn0086710,0,ortholog_one2many
LOC6898245,CG4409,FBgn0034128,1,ortholog_one2one
LOC6900122,CG42538,FBgn0260646,0,ortholog_one2many
LOC4814310,CG15044,FBgn0030928,1,ortholog_one2one
LOC4816236,CG42369,FBgn0259715,1,ortholog_one2one
LOC4803794,Menl-2,FBgn0029153,1,ortholog_one2one
LOC4803620,CG9890,FBgn0034814,1,ortholog_one2one
LOC4818017,eya,FBgn0000320,1,ortholog_one2one
LOC117184168,Ir31a,FBgn0051718,0,ortholog_one2many
LOC4814598,CG8568,FBgn0030841,0,ortholog_one2one
LOC117184221,Ube4A,FBgn0028467,0,ortholog_one2many
LOC4812322,miple1,FBgn0027111,1,ortholog_one2one
LOC6900645,bma,FBgn0085385,1,ortholog_one2one
LOC4804311,RpL12,FBgn0034968,1,ortholog_one2one
LOC4816726,Trf5,FBgn0031446,1,ortholog_one2one
LOC4803547,Ance-5,FBgn0035076,1,ortholog_one2one
LOC6896677,CG31897,FBgn0051897,0,ortholog_one2one
LOC4803351,CG8230,FBgn0027607,1,ortholog_one2one
LOC4801161,Vha100-1,FBgn0028671,1,ortholog_one2one
LOC4815811,CG14270,FBgn0029665,1,ortholog_one2one
LOC4817828,CG11617,FBgn0031232,1,ortholog_one2one
LOC4812121,CG4982,FBgn0036598,1,ortholog_one2one
LOC6900056,CG42540,FBgn0260657,1,ortholog_one2one
LOC4816858,Ns4,FBgn0032882,1,ortholog_one2one
LOC6901624,CG32537,FBgn0052537,1,ortholog_one2many
LOC4817052,papi,FBgn0031401,1,ortholog_one2one
LOC4813235,CG33160,FBgn0053160,1,ortholog_one2one
LOC4804471,CG3906,FBgn0034871,1,ortholog_one2one
LOC4816305,Mondo,FBgn0032940,1,ortholog_one2one
LOC4814783,Prosalpha4T1,FBgn0265606,0,ortholog_many2many
LOC4814783,Prosalpha4,FBgn0004066,0,ortholog_many2many
LOC6902935,Sec24CD,FBgn0262126,1,ortholog_one2one
LOC6899120,CG14321,FBgn0038540,0,ortholog_one2one
LOC4800304,CG31038,FBgn0051038,1,ortholog_one2one
LOC4815615,Chpf,FBgn0263005,1,ortholog_one2one
LOC4801266,CG9799,FBgn0038146,1,ortholog_one2one
LOC4802026,Dhod,FBgn0000447,1,ortholog_one2one
LOC4817129,ChLD3,FBgn0032598,1,ortholog_one2one
LOC4815450,CG1571,FBgn0029993,1,ortholog_one2one
LOC4802508,Ubc6,FBgn0004436,1,ortholog_one2one
LOC4800401,CG9737,FBgn0039758,1,ortholog_one2one
LOC4816448,Ku80,FBgn0041627,1,ortholog_one2one
LOC26533605,CG17192,FBgn0039472,1,ortholog_many2many
LOC26533605,CG17191,FBgn0039473,1,ortholog_many2many
LOC26533605,CG6283,FBgn0039474,1,ortholog_many2many
LOC4817002,shv,FBgn0031256,1,ortholog_one2one
LOC117183542,CG42383,FBgn0259729,1,ortholog_one2one
LOC4815912,pcx,FBgn0003048,1,ortholog_one2one
LOC117185100,mRpL3,FBgn0030686,0,ortholog_one2many
LOC4803763,Ugt49C1,FBgn0034605,1,ortholog_one2one
LOC6901004,Ypel,FBgn0030183,0,ortholog_one2one
LOC4813781,CG13074,FBgn0036567,1,ortholog_one2one
LOC6902423,Grl43a,FBgn0033202,0,ortholog_one2one
LOC4813403,Kap-alpha1,FBgn0024889,1,ortholog_one2one
LOC6898674,CG34200,FBgn0085229,1,ortholog_one2many
LOC6898674,CG15461,FBgn0040649,0,ortholog_one2many
LOC4814511,CG5445,FBgn0030838,0,ortholog_one2one
LOC4802649,Tsp96F,FBgn0027865,1,ortholog_one2one
LOC4816048,PhKgamma,FBgn0011754,1,ortholog_one2one
LOC4813124,Est-P,FBgn0000594,1,ortholog_many2many
LOC4813124,Est-6,FBgn0000592,1,ortholog_many2many
LOC6897053,CG14253,FBgn0039467,1,ortholog_one2one
LOC4813818,mex1,FBgn0004228,1,ortholog_one2one
LOC4817015,Btk,FBgn0003502,1,ortholog_one2one
LOC4804081,CG12129,FBgn0033475,1,ortholog_one2one
LOC4813751,CG13930,FBgn0035256,1,ortholog_one2one
LOC4803442,CG30158,FBgn0050158,1,ortholog_one2one
LOC13036323,Map205,FBgn0002645,1,ortholog_one2one
LOC4803289,Dpck,FBgn0037469,1,ortholog_one2one
LOC6897125,Rbp,FBgn0262483,1,ortholog_one2one
LOC6901081,bves,FBgn0031150,1,ortholog_one2one
LOC5384072,Gyc89Db,FBgn0038436,1,ortholog_one2one
LOC4801696,Nepl19,FBgn0039612,1,ortholog_one2one
LOC6899357,Graf,FBgn0030685,0,ortholog_one2one
LOC4804673,CCHa1-R,FBgn0050106,1,ortholog_one2one
LOC4815755,CG9522,FBgn0030587,1,ortholog_one2one
LOC4812463,Aplip1,FBgn0040281,1,ortholog_one2one
LOC4811689,Fis1,FBgn0039969,0,ortholog_one2one
LOC6900300,nab,FBgn0259986,1,ortholog_one2one
LOC6897641,laf,FBgn0020280,0,ortholog_one2one
LOC6901668,CG32679,FBgn0052679,0,ortholog_one2one
LOC4817577,CG15432,FBgn0031603,1,ortholog_one2one
LOC6897850,Sas-4,FBgn0011020,1,ortholog_one2one
LOC4813727,CG14995,FBgn0035497,1,ortholog_one2one
LOC4813801,ppl,FBgn0027945,1,ortholog_one2one
LOC26532934,CG46443,FBgn0287213,1,ortholog_one2one
LOC6898272,CG34185,FBgn0085214,1,ortholog_one2one
LOC4805696,MED16,FBgn0034707,1,ortholog_one2one
LOC6900714,Lcp65Ag1,FBgn0020638,1,ortholog_many2many
LOC6900714,Lcp65Ae,FBgn0020640,1,ortholog_many2many
LOC6900714,Lcp65Ag3,FBgn0086611,1,ortholog_many2many
LOC6900714,Lcp65Af,FBgn0020639,1,ortholog_many2many
LOC6900714,Lcp65Ag2,FBgn0020637,1,ortholog_many2many
LOC6901072,CG33557,FBgn0053557,1,ortholog_one2one
LOC4816278,CG8813,FBgn0031476,1,ortholog_one2one
LOC13036380,kmr,FBgn0085412,1,ortholog_one2one
LOC4816888,MESR3,FBgn0032694,1,ortholog_one2one
LOC4812815,MED1,FBgn0037109,1,ortholog_one2one
LOC4804785,CG14500,FBgn0034318,0,ortholog_one2one
LOC4813425,Papss,FBgn0020389,1,ortholog_one2one
LOC4800693,Tmtc4,FBgn0038324,1,ortholog_one2one
LOC4816030,rho-4,FBgn0030318,0,ortholog_one2one
LOC6903406,Naxd,FBgn0036848,0,ortholog_one2one
LOC6897477,Spf30,FBgn0039977,0,ortholog_one2one
LOC4800530,Srp72,FBgn0038810,1,ortholog_one2one
LOC4818098,CG5958,FBgn0031913,1,ortholog_one2one
LOC6897141,CG31051,FBgn0051051,1,ortholog_one2one
LOC6898780,Pdk,FBgn0017558,1,ortholog_one2one
LOC4815658,usp,FBgn0003964,1,ortholog_one2one
LOC4804093,fat-spondin,FBgn0026721,1,ortholog_one2one
LOC4815446,CG7860,FBgn0030653,0,ortholog_one2one
LOC117184174,Bug22,FBgn0032248,0,ortholog_one2one
LOC4803005,CG8112,FBgn0037612,1,ortholog_one2one
LOC4813536,Capr,FBgn0042134,1,ortholog_one2one
LOC4811989,ttm2,FBgn0035124,1,ortholog_one2one
LOC26532572,mthl3,FBgn0028956,0,ortholog_many2many
LOC26532572,mth,FBgn0023000,1,ortholog_many2many
LOC26532572,mthl2,FBgn0035623,0,ortholog_many2many
LOC26532572,mthl4,FBgn0034219,0,ortholog_many2many
LOC4812676,Su(P),FBgn0004465,1,ortholog_one2one
LOC4800683,Or98a,FBgn0039551,1,ortholog_one2many
LOC6902299,sog,FBgn0003463,0,ortholog_one2one
LOC4803985,ave,FBgn0050476,1,ortholog_one2one
LOC4812777,CG32176,FBgn0052176,1,ortholog_one2one
LOC6900262,CG9452,FBgn0036877,1,ortholog_one2one
LOC4812206,Arl1,FBgn0000115,1,ortholog_one2one
LOC4813789,SNCF,FBgn0036349,1,ortholog_one2one
LOC4800256,janA,FBgn0001280,1,ortholog_one2one
LOC6903085,CG2617,FBgn0032877,1,ortholog_one2many
LOC26531981,elfless,FBgn0032660,0,ortholog_many2many
LOC26531981,CG43058,FBgn0262360,0,ortholog_many2many
LOC4813063,Fit1,FBgn0035498,1,ortholog_one2one
LOC6897317,jar,FBgn0011225,1,ortholog_one2one
LOC4803147,RpL3,FBgn0020910,1,ortholog_one2one
LOC6901796,CG42541,FBgn0260658,1,ortholog_one2one
LOC6898990,Cht12,FBgn0050293,1,ortholog_one2many
LOC6901842,CG14050,FBgn0040392,0,ortholog_one2one
LOC4813922,ebd2,FBgn0037076,1,ortholog_one2one
LOC4801823,CG2187,FBgn0017448,1,ortholog_one2one
LOC4812864,CG42269,FBgn0259164,1,ortholog_one2one
LOC4818147,chic,FBgn0000308,1,ortholog_one2one
LOC4804614,Nplp1,FBgn0035092,1,ortholog_one2one
LOC4804169,Dp,FBgn0011763,1,ortholog_one2one
LOC4811997,CycA,FBgn0000404,0,ortholog_one2one
LOC4814106,ProRS-m,FBgn0027082,1,ortholog_one2one
LOC6902594,CG14013,FBgn0031720,1,ortholog_one2one
LOC6899768,Vps11,FBgn0052350,0,ortholog_one2one
LOC4816445,Naa20B,FBgn0051851,1,ortholog_one2one
LOC4802446,Orco,FBgn0037324,1,ortholog_one2one
LOC26534030,vap,FBgn0003969,0,ortholog_one2one
LOC4815364,Dlip1,FBgn0040467,1,ortholog_one2one
LOC4800391,CG2218,FBgn0039767,1,ortholog_one2one
LOC6898086,Spn42Dd,FBgn0028988,1,ortholog_one2one
LOC6900331,CG33702,FBgn0053702,1,ortholog_one2one
LOC4814551,CG12540,FBgn0030570,1,ortholog_one2one
LOC4802235,CG18599,FBgn0038592,1,ortholog_one2one
LOC4803988,Trs31,FBgn0266723,1,ortholog_one2one
LOC4816116,CG32988,FBgn0052988,1,ortholog_one2many
LOC4816116,CG32983,FBgn0052983,1,ortholog_one2many
LOC4802585,mfas,FBgn0260745,1,ortholog_one2one
LOC6898532,Vang,FBgn0015838,1,ortholog_one2one
LOC4801004,CG6040,FBgn0038679,1,ortholog_one2one
LOC6896863,CG7606,FBgn0040565,1,ortholog_one2one
LOC4801761,Pisd,FBgn0026576,1,ortholog_one2one
LOC4805353,CG8401,FBgn0034069,1,ortholog_one2one
LOC4812774,CG12316,FBgn0036483,1,ortholog_one2one
LOC4812687,alphaTub67C,FBgn0087040,1,ortholog_one2one
LOC4817036,CG31673,FBgn0051673,1,ortholog_one2one
LOC4802854,l(3)05822,FBgn0010877,0,ortholog_one2one
LOC4816362,aph-1,FBgn0031458,1,ortholog_one2one
LOC4816434,Marf1,FBgn0039972,0,ortholog_one2one
LOC117183174,CG18367,FBgn0034460,1,ortholog_one2one
LOC4816964,Mtpalpha,FBgn0028479,1,ortholog_one2one
LOC4805309,alka,FBgn0033558,1,ortholog_one2one
LOC4815875,Obp8a,FBgn0030103,1,ortholog_one2one
LOC4814882,Rbm13,FBgn0030067,1,ortholog_one2one
LOC4804863,Khc-73,FBgn0019968,1,ortholog_one2one
LOC4812082,CG10863,FBgn0027552,1,ortholog_one2one
LOC4802362,CG31098,FBgn0051098,1,ortholog_one2one
LOC4802689,sll,FBgn0038524,1,ortholog_one2one
LOC4805307,LTV1,FBgn0027525,1,ortholog_one2one
LOC6900151,Rh4,FBgn0003250,0,ortholog_one2one
LOC4813242,CG32091,FBgn0052091,1,ortholog_one2one
LOC6902019,Pits,FBgn0030400,1,ortholog_one2one
LOC4803173,CG7215,FBgn0038571,1,ortholog_one2one
LOC4813544,CG14105,FBgn0036359,0,ortholog_one2one
LOC4805187,Cyp9h1,FBgn0033775,1,ortholog_one2one
LOC4804741,CG9067,FBgn0033605,1,ortholog_one2one
LOC4817782,CG5861,FBgn0015338,1,ortholog_one2one
LOC4812220,CG3437,FBgn0035998,1,ortholog_one2one
LOC4812795,CG6628,FBgn0036072,1,ortholog_one2one
LOC4800286,CG42557,FBgn0260759,1,ortholog_one2one
LOC4800432,CG5805,FBgn0039223,1,ortholog_one2one
LOC4804907,boca,FBgn0004132,1,ortholog_one2one
LOC4804275,Cpr49Ae,FBgn0033728,1,ortholog_one2one
LOC26532133,CG42538,FBgn0260646,0,ortholog_one2many
LOC4805532,Tmtc3,FBgn0020312,1,ortholog_one2one
LOC4813455,Pdi,FBgn0286818,1,ortholog_one2one
LOC4803467,Tsp42Eo,FBgn0033136,1,ortholog_one2one
LOC4804896,rho-7,FBgn0033672,1,ortholog_one2one
LOC4800463,Cisd2,FBgn0062442,1,ortholog_one2one
LOC6898025,Yeti,FBgn0267398,0,ortholog_one2one
LOC4802745,Cont,FBgn0037240,1,ortholog_one2one
LOC4815163,CG12118,FBgn0030101,1,ortholog_one2one
LOC4800652,SF1,FBgn0025571,1,ortholog_one2one
LOC4813458,CheA75a,FBgn0036783,1,ortholog_one2one
LOC6898776,sub,FBgn0003545,0,ortholog_one2one
LOC4803379,Hen1,FBgn0033686,1,ortholog_one2one
LOC4811933,CG14455,FBgn0037175,1,ortholog_one2one
LOC4817119,Saf6,FBgn0031281,1,ortholog_one2one
LOC6899750,CG17486,FBgn0032997,0,ortholog_one2one
LOC6901123,CG12219,FBgn0043796,1,ortholog_one2one
LOC4802213,Kaz-m1,FBgn0002578,1,ortholog_one2one
LOC4804067,tn,FBgn0265356,1,ortholog_one2one
LOC6899878,bt,FBgn0005666,1,ortholog_one2one
LOC4817849,CG11601,FBgn0031244,1,ortholog_one2one
LOC6901028,Bx,FBgn0265598,1,ortholog_one2one
LOC4815038,Scamp,FBgn0040285,1,ortholog_one2one
LOC4804132,Coq9,FBgn0050493,1,ortholog_one2one
LOC6897213,Sid,FBgn0039593,0,ortholog_one2many
LOC6897213,CG33346,FBgn0053346,0,ortholog_one2many
LOC4811859,CG3808,FBgn0036838,1,ortholog_one2one
LOC4814151,RpL8,FBgn0261602,1,ortholog_one2one
LOC6903520,milt,FBgn0262872,1,ortholog_one2one
LOC6899232,CG16853,FBgn0028941,1,ortholog_one2one
LOC6901231,CG5107,FBgn0039342,0,ortholog_one2one
LOC4817896,B4,FBgn0023407,1,ortholog_one2one
LOC4814837,CG4617,FBgn0029936,1,ortholog_one2one
LOC4803136,Ugt303A1,FBgn0040252,1,ortholog_one2one
LOC4802568,Zip89B,FBgn0038412,1,ortholog_one2one
LOC4816430,Nubpl,FBgn0032986,0,ortholog_one2one
LOC4803025,CG32797,FBgn0052797,0,ortholog_one2one
LOC4803848,CG42260,FBgn0259145,1,ortholog_one2one
LOC6903886,Fen1,FBgn0025832,1,ortholog_one2one
LOC6903076,Sptz,FBgn0037897,0,ortholog_one2one
LOC4813464,CG6610,FBgn0035675,1,ortholog_one2one
LOC117185616,His4:CG33889,FBgn0053889,0,ortholog_one2many
LOC6901882,CG17600,FBgn0031195,1,ortholog_one2one
LOC6897893,Pif1B,FBgn0046874,0,ortholog_one2one
LOC4804758,wuc,FBgn0033770,1,ortholog_one2one
LOC4802804,CG9444,FBgn0037730,0,ortholog_one2one
LOC4803106,CG14866,FBgn0038315,1,ortholog_one2one
LOC4815239,Ir7c,FBgn0029966,1,ortholog_one2one
LOC4812199,CG32413,FBgn0052413,1,ortholog_one2one
LOC4804540,Eglp4,FBgn0034885,1,ortholog_one2one
LOC26532415,wrm2,FBgn0264303,1,ortholog_one2one
LOC4816652,Gli,FBgn0001987,1,ortholog_one2one
LOC4816474,CG11149,FBgn0031732,1,ortholog_one2one
LOC4804768,CG15615,FBgn0034159,1,ortholog_one2one
LOC4814584,CG2059,FBgn0029942,1,ortholog_one2one
LOC4804721,CG12923,FBgn0033461,1,ortholog_one2one
LOC4804626,CG8929,FBgn0034504,1,ortholog_one2one
LOC4813647,ArfGAP1,FBgn0020655,1,ortholog_one2one
LOC4803704,CG15674,FBgn0034642,1,ortholog_one2one
LOC4800492,ppk19,FBgn0039679,1,ortholog_one2one
LOC6902601,Cyp6t1,FBgn0031182,0,ortholog_one2one
LOC4817259,Wdr59,FBgn0032339,1,ortholog_one2one
LOC4814022,Slc45-1,FBgn0035968,1,ortholog_one2one
LOC4817436,jet,FBgn0031652,1,ortholog_one2one
LOC4817466,Ppt2,FBgn0032358,1,ortholog_one2one
LOC4811819,danr,FBgn0039283,1,ortholog_one2one
LOC4805156,CG6337,FBgn0033873,1,ortholog_one2one
LOC4813837,CG9018,FBgn0035318,1,ortholog_one2one
LOC4804427,maf-S,FBgn0034534,1,ortholog_one2one
LOC6903964,Surf6,FBgn0038746,1,ortholog_one2one
LOC6897056,CG31077,FBgn0051077,0,ortholog_one2one
LOC4815539,CG31205,FBgn0051205,0,ortholog_one2many
LOC4815539,CG14780,FBgn0025383,1,ortholog_one2many
LOC4800604,CG18473,FBgn0037683,1,ortholog_one2one
LOC4805373,CG6362,FBgn0028740,1,ortholog_one2one
LOC6900118,nSyb,FBgn0013342,1,ortholog_one2one
LOC6897906,Hsc70-4,FBgn0266599,0,ortholog_one2many
LOC4801435,CG14301,FBgn0038632,1,ortholog_one2one
LOC4814862,CG14234,FBgn0031065,1,ortholog_one2one
LOC4816344,eIF3i,FBgn0015834,1,ortholog_one2one
LOC4813828,Ir76b,FBgn0036937,1,ortholog_one2one
LOC4818115,CG31637,FBgn0051637,1,ortholog_one2one
LOC13036349,CG42650,FBgn0261502,1,ortholog_one2one
LOC6897462,hyd,FBgn0002431,0,ortholog_one2one
LOC4812543,CG3402,FBgn0035148,1,ortholog_one2one
LOC4804238,CG12910,FBgn0033502,1,ortholog_one2one
LOC4805600,CG16837,FBgn0035009,1,ortholog_one2one
LOC4805161,S-Lap7,FBgn0033868,1,ortholog_one2one
LOC4803221,Alg9,FBgn0039293,1,ortholog_one2one
LOC6902939,COX7AL2,FBgn0085201,1,ortholog_one2one
LOC4816374,BicC,FBgn0000182,1,ortholog_one2one
LOC6896664,Ktch,FBgn0039821,1,ortholog_one2one
LOC4818197,tadr,FBgn0032911,1,ortholog_one2one
LOC4801758,Rox8,FBgn0005649,1,ortholog_one2one
LOC4804130,Dgat2,FBgn0033215,1,ortholog_one2one
LOC6897117,CG31064,FBgn0051064,0,ortholog_one2one
LOC4811835,Cdk5alpha,FBgn0027491,0,ortholog_one2one
LOC4816663,VGlut,FBgn0031424,1,ortholog_one2one
LOC6903449,ND-B22,FBgn0032511,1,ortholog_one2one
LOC6898626,CG13227,FBgn0033589,1,ortholog_one2one
LOC4816676,Pax,FBgn0041789,1,ortholog_many2many
LOC4813681,CG9389,FBgn0037064,1,ortholog_one2one
LOC4814074,Cpsf6,FBgn0035872,1,ortholog_one2one
LOC4818179,CG31612,FBgn0051612,1,ortholog_one2one
LOC4817985,Uba4,FBgn0032054,1,ortholog_one2one
LOC6899177,Lcch3,FBgn0010240,0,ortholog_one2one
LOC4804602,CG13871,FBgn0034502,1,ortholog_one2one
LOC4812261,CG5910,FBgn0036993,1,ortholog_one2one
LOC6900084,CG33523,FBgn0053523,1,ortholog_one2one
LOC4802814,CG5276,FBgn0037900,1,ortholog_one2one
LOC6899484,Clic,FBgn0030529,0,ortholog_one2many
LOC4803099,Zip88E,FBgn0038312,1,ortholog_one2one
LOC4800449,CG31125,FBgn0051125,1,ortholog_one2one
LOC4813888,CG34428,FBgn0085457,1,ortholog_one2one
LOC4816451,CG13083,FBgn0032789,1,ortholog_one2one
LOC4804250,Dgp-1,FBgn0027836,0,ortholog_one2one
LOC4814748,XRCC1,FBgn0026751,1,ortholog_one2one
LOC6901913,CG8173,FBgn0030864,1,ortholog_one2many
LOC4801440,CG7694,FBgn0038627,1,ortholog_one2one
LOC4803076,CG17190,FBgn0038761,1,ortholog_one2one
LOC4817231,CG33120,FBgn0053120,1,ortholog_one2many
LOC4801540,hdly,FBgn0038842,1,ortholog_one2one
LOC4804730,Or47a,FBgn0026386,1,ortholog_one2one
LOC4812671,CG11586,FBgn0035520,1,ortholog_one2one
LOC4801367,put,FBgn0003169,1,ortholog_one2one
LOC26532884,CG44253,FBgn0265188,1,ortholog_one2one
LOC4800353,TrpRS,FBgn0010803,1,ortholog_one2one
LOC4802098,Patr-1,FBgn0266053,1,ortholog_one2one
LOC4815323,Dhc16F,FBgn0283476,1,ortholog_one2one
LOC4812724,Pex7,FBgn0035922,1,ortholog_one2one
LOC4802499,dpr16,FBgn0037295,0,ortholog_one2one
LOC4817939,tsh,FBgn0003866,1,ortholog_one2one
LOC4800456,jus,FBgn0039647,1,ortholog_one2one
LOC4801896,Osi9,FBgn0037416,1,ortholog_one2one
LOC4814425,CG15445,FBgn0031161,1,ortholog_one2one
LOC4803729,CG9876,FBgn0034821,1,ortholog_one2one
LOC4804996,CG31960,FBgn0051960,0,ortholog_one2one
LOC4802732,Lipt2,FBgn0037251,1,ortholog_one2one
LOC4805649,BBS4,FBgn0033578,1,ortholog_one2one
LOC6903613,wgn,FBgn0030941,1,ortholog_one2one
LOC4816926,L2HGDH,FBgn0032729,1,ortholog_one2one
LOC4815686,Rbp1-like,FBgn0030479,1,ortholog_one2one
LOC6901534,UQCR-6.4L,FBgn0262842,0,ortholog_one2many
LOC4817392,LSm7,FBgn0261068,1,ortholog_one2one
LOC4802677,PolZ2,FBgn0037345,1,ortholog_one2one
LOC117184264,robl37BC,FBgn0028569,1,ortholog_one2one
LOC6898901,OstDelta,FBgn0034277,1,ortholog_one2one
LOC6896728,CG34299,FBgn0085328,1,ortholog_one2one
LOC4801889,Osi16,FBgn0051561,1,ortholog_one2one
LOC6898685,CG6701,FBgn0033889,1,ortholog_one2one
LOC4812920,loj,FBgn0061492,1,ortholog_one2one
LOC26533591,SamDC,FBgn0019932,0,ortholog_one2one
LOC6903579,H15,FBgn0016660,1,ortholog_one2one
LOC4816758,CG17350,FBgn0032772,1,ortholog_one2one
LOC6901036,kek4,FBgn0032484,0,ortholog_one2one
LOC4812309,CG32037,FBgn0052037,1,ortholog_one2one
LOC4813272,dbo,FBgn0040230,1,ortholog_one2one
LOC6902242,CG34028,FBgn0054028,1,ortholog_one2one
LOC4813465,CG32104,FBgn0052104,1,ortholog_one2one
LOC4816664,CG6431,FBgn0032289,1,ortholog_one2one
LOC4814732,CG9400,FBgn0030562,1,ortholog_one2one
LOC4817889,loqs,FBgn0032515,1,ortholog_one2one
LOC4815259,CheA7a,FBgn0029948,1,ortholog_one2one
LOC4816022,CG4438,FBgn0032115,0,ortholog_one2many
LOC4816022,CG11444,FBgn0029715,0,ortholog_one2many
