Gene stable ID,"Drosophila pseudoobscura (Fruit fly, MV2-25) gene stable ID","Drosophila pseudoobscura (Fruit fly, MV2-25) orthology confidence [0 low, 1 high]","Drosophila pseudoobscura (Fruit fly, MV2-25) homology type",Gene name
FBgn0028999,LOC4813450,1,ortholog_one2one,nerfin-1
FBgn0033830,LOC4803347,1,ortholog_one2one,CG10814
FBgn0030597,LOC4816073,1,ortholog_one2one,Eo
FBgn0010395,LOC4818199,1,ortholog_one2one,Itgbn
FBgn0039233,LOC4800247,1,ortholog_one2one,CG7006
FBgn0259111,LOC4817033,1,ortholog_one2one,Ndae1
FBgn0015737,LOC4801173,1,ortholog_one2one,Hmu
FBgn0039198,LOC6897480,1,ortholog_one2one,CG5768
FBgn0085276,LOC6900004,1,ortholog_one2one,CG34247
FBgn0002716,LOC6898377,1,ortholog_one2one,mei-W68
FBgn0033210,LOC4804135,1,ortholog_one2one,U2A
FBgn0031869,LOC4816172,1,ortholog_one2one,CG18304
FBgn0037227,LOC4802763,1,ortholog_one2one,TwdlV
FBgn0003716,LOC4817227,1,ortholog_one2one,tkv
FBgn0030872,LOC4815253,1,ortholog_one2one,Ucp4A
FBgn0025620,LOC4815848,1,ortholog_one2one,CG13360
FBgn0029747,LOC4815771,0,ortholog_one2one,CG5062
FBgn0035107,LOC6899981,1,ortholog_one2one,mri
FBgn0032873,LOC4816930,1,ortholog_one2one,CG2614
FBgn0010282,LOC6897554,1,ortholog_one2many,TfIIFalpha
FBgn0010282,LOC6897586,0,ortholog_one2many,TfIIFalpha
FBgn0030435,LOC4814299,1,ortholog_one2one,CG4645
FBgn0052087,LOC6900132,1,ortholog_one2one,CG32087
FBgn0015038,LOC4803475,1,ortholog_one2many,Cyp9b1
FBgn0029770,LOC6902284,0,ortholog_one2many,CG4151
FBgn0029770,LOC4815708,1,ortholog_one2many,CG4151
FBgn0035770,LOC4813332,1,ortholog_one2one,pst
FBgn0260454,LOC4816483,1,ortholog_one2many,CG17139
FBgn0051262,LOC4817241,0,ortholog_many2many,CG31262
FBgn0051262,LOC6902923,0,ortholog_many2many,CG31262
FBgn0039492,LOC4801147,1,ortholog_one2one,CG6051
FBgn0015774,LOC6901427,1,ortholog_one2one,NetB
FBgn0040968,LOC4817557,1,ortholog_one2many,CG14933
FBgn0016919,LOC6902606,0,ortholog_one2one,nompB
FBgn0260971,LOC4815882,1,ortholog_one2one,CG42594
FBgn0250732,LOC6897849,1,ortholog_one2one,gfzf
FBgn0036799,LOC6903553,0,ortholog_one2many,CG13380
FBgn0036799,LOC6896831,0,ortholog_one2many,CG13380
FBgn0036799,LOC6903554,0,ortholog_one2many,CG13380
FBgn0036825,LOC4812567,1,ortholog_one2one,RpL26
FBgn0032551,LOC6899119,0,ortholog_one2many,CG18636
FBgn0036235,LOC4813312,1,ortholog_one2one,CG6938
FBgn0263605,LOC4812164,1,ortholog_one2one,l(3)72Dn
FBgn0029962,LOC6901824,1,ortholog_one2one,CARPA
FBgn0262719,LOC4813159,1,ortholog_one2one,CG43163
FBgn0004380,LOC4813478,1,ortholog_one2one,Klp64D
FBgn0035545,LOC4812456,1,ortholog_one2one,CG12607
FBgn0035976,LOC6900932,1,ortholog_one2one,PGRP-LC
FBgn0035004,LOC4805605,1,ortholog_one2one,Pgam5-2
FBgn0052243,LOC6900519,0,ortholog_one2one,CG32243
FBgn0037703,LOC4802531,1,ortholog_one2one,Kdm3
FBgn0035111,LOC4812292,1,ortholog_one2one,Dis3l2
FBgn0086350,LOC4804094,0,ortholog_one2one,tef
FBgn0036141,LOC4813739,1,ortholog_one2one,wls
FBgn0020306,LOC6898541,0,ortholog_one2one,dom
FBgn0040465,LOC4804148,1,ortholog_one2one,Dlip3
FBgn0266757,LOC4812697,1,ortholog_one2one,mfr
FBgn0086130,LOC4817146,1,ortholog_one2one,Dbp21E2
FBgn0036942,LOC4813430,1,ortholog_one2one,CG7328
FBgn0000439,LOC4802257,0,ortholog_one2one,Dfd
FBgn0016672,LOC4801649,1,ortholog_one2one,Ipp
FBgn0037186,LOC4812476,1,ortholog_one2one,CG11241
FBgn0034439,LOC6898436,1,ortholog_one2one,CG10062
FBgn0053181,LOC6901340,1,ortholog_one2one,CG33181
FBgn0037552,LOC4801586,1,ortholog_one2many,CG7800
FBgn0025686,LOC26534323,1,ortholog_one2one,Amnionless
FBgn0259817,LOC6899057,0,ortholog_one2many,SteXh:CG42398
FBgn0031772,LOC4817883,1,ortholog_one2one,CG13994
FBgn0259933,LOC6899968,1,ortholog_one2one,Dpm2
FBgn0033442,LOC4805133,1,ortholog_one2one,CG1690
FBgn0033652,LOC4805408,1,ortholog_one2one,ths
FBgn0003255,LOC4816677,1,ortholog_one2one,rk
FBgn0014868,LOC4814927,1,ortholog_one2one,Ost48
FBgn0034821,LOC4803729,1,ortholog_one2one,CG9876
FBgn0004406,LOC4816541,1,ortholog_one2one,PolG1
FBgn0033623,LOC4805109,1,ortholog_one2one,CG13202
FBgn0039613,LOC5495521,0,ortholog_one2many,Nepl20
FBgn0034099,LOC4803824,1,ortholog_one2many,CG15708
FBgn0037519,LOC4802974,1,ortholog_one2one,CG3014
FBgn0035300,LOC4812787,1,ortholog_one2one,acs
FBgn0039311,LOC4802360,1,ortholog_one2one,CG10513
FBgn0038100,LOC4801412,1,ortholog_one2one,Paip2
FBgn0053502,LOC6901885,1,ortholog_one2many,CG33502
FBgn0035372,LOC4814043,1,ortholog_one2one,CG12093
FBgn0261395,LOC6902437,0,ortholog_one2one,Prosalpha3T
FBgn0045827,LOC4816373,0,ortholog_one2one,CG13245
FBgn0031289,LOC4817431,1,ortholog_one2one,CG13950
FBgn0264449,LOC6901139,1,ortholog_one2one,CG43867
FBgn0040719,LOC4817524,1,ortholog_one2one,CG15357
FBgn0029837,LOC6901456,1,ortholog_one2one,Tsp5D
FBgn0036590,LOC6900011,1,ortholog_one2one,CG13065
FBgn0034118,LOC4803799,1,ortholog_one2one,Nup62
FBgn0263025,LOC4800670,0,ortholog_one2one,HSPBAP1
FBgn0031893,LOC6903307,0,ortholog_one2many,MICU1
FBgn0031893,LOC6903298,1,ortholog_one2many,MICU1
FBgn0000594,LOC4813130,1,ortholog_many2many,Est-P
FBgn0000594,LOC6900444,1,ortholog_many2many,Est-P
FBgn0000594,LOC4813124,1,ortholog_many2many,Est-P
FBgn0264472,LOC26532987,0,ortholog_one2one,CG43880
FBgn0085432,LOC4811795,1,ortholog_one2one,pan
FBgn0003996,LOC6901267,1,ortholog_one2one,w
FBgn0289122,LOC4803250,1,ortholog_one2one,Ino80
FBgn0030876,LOC4815226,1,ortholog_one2one,Srx
FBgn0033313,LOC4803544,0,ortholog_one2one,Cirl
FBgn0263603,LOC4813764,1,ortholog_one2one,Zn72D
FBgn0261675,LOC4814554,1,ortholog_one2one,Npc1b
FBgn0039595,LOC4800631,1,ortholog_one2one,AstA-R2
FBgn0014903,LOC6902106,1,ortholog_one2one,CG14630
FBgn0283451,LOC6902077,1,ortholog_one2one,br
FBgn0033608,LOC4804744,1,ortholog_one2one,CG13220
FBgn0039904,LOC4811843,1,ortholog_one2one,Hcf
FBgn0033985,LOC4804989,1,ortholog_one2one,CG10257
FBgn0039238,LOC4800366,1,ortholog_one2one,CG7016
FBgn0033187,LOC4804915,1,ortholog_one2one,PIG-G
FBgn0085693,LOC4815815,0,ortholog_one2many,CG41562
FBgn0037794,LOC6897015,1,ortholog_one2one,CG6254
FBgn0034049,LOC4805562,1,ortholog_one2one,bdg
FBgn0051064,LOC6897117,0,ortholog_one2one,CG31064
FBgn0031045,LOC4815843,1,ortholog_one2one,CG14212
FBgn0029157,LOC4801378,1,ortholog_one2one,ssh
FBgn0035488,LOC6900612,1,ortholog_one2one,CG11593
FBgn0035508,LOC4812656,1,ortholog_one2one,CG15005
FBgn0036499,LOC6900634,0,ortholog_one2one,CG7276
FBgn0051265,LOC6899012,0,ortholog_one2one,CG31265
FBgn0032524,LOC4817946,1,ortholog_one2one,Hacd2
FBgn0039670,LOC6896775,1,ortholog_one2one,CG7567
FBgn0035924,LOC4812713,0,ortholog_one2one,CG6576
FBgn0011206,LOC4814025,1,ortholog_one2one,bol
FBgn0001994,LOC4817775,1,ortholog_one2one,crp
FBgn0032476,LOC4816569,1,ortholog_one2one,CG5439
FBgn0031877,LOC4816107,1,ortholog_one2one,Hmgcl
FBgn0034274,LOC4805365,1,ortholog_one2one,CG10931
FBgn0033297,LOC4803611,1,ortholog_one2one,Mal-A8
FBgn0004198,LOC6901776,1,ortholog_one2one,ct
FBgn0033483,LOC6898519,1,ortholog_one2one,egr
FBgn0263601,LOC4812194,1,ortholog_one2one,mib1
FBgn0037608,LOC4803001,0,ortholog_one2one,mRpL19
FBgn0030795,LOC4815891,0,ortholog_one2one,ppk28
FBgn0033788,LOC4804045,1,ortholog_many2many,CG13323
FBgn0033788,LOC117183714,1,ortholog_many2many,CG13323
FBgn0264490,LOC6896983,1,ortholog_one2one,Eip93F
FBgn0039769,LOC4800389,1,ortholog_one2one,CG15534
FBgn0004514,LOC4811871,1,ortholog_one2one,Oct-TyrR
FBgn0039058,LOC4801237,1,ortholog_one2one,VhaAC39-2
FBgn0083943,LOC13036369,1,ortholog_one2one,CG34107
FBgn0037816,LOC4801020,1,ortholog_one2one,CG6345
FBgn0029816,LOC4805424,0,ortholog_one2many,CG12729
FBgn0039811,LOC4800326,1,ortholog_one2one,CG15550
FBgn0022355,LOC6901019,1,ortholog_one2one,Tsf1
FBgn0051380,LOC4802658,1,ortholog_one2one,CG31380
FBgn0034920,LOC4803513,1,ortholog_one2one,CG5597
FBgn0034803,LOC4805556,1,ortholog_one2one,CG9849
FBgn0031598,LOC4817586,1,ortholog_one2one,Vps53
FBgn0033376,LOC6898530,1,ortholog_one2one,CG8777
FBgn0036608,LOC4811992,1,ortholog_one2one,CG13040
FBgn0025835,LOC6901860,1,ortholog_one2one,CG17707
FBgn0027111,LOC4812322,1,ortholog_one2one,miple1
FBgn0013263,LOC6900368,1,ortholog_one2one,Trl
FBgn0042213,LOC4800506,1,ortholog_one2one,CG18731
FBgn0036681,LOC6900159,1,ortholog_one2one,Obp73a
FBgn0034083,LOC4803872,1,ortholog_one2one,lbk
FBgn0033855,LOC4804397,1,ortholog_one2one,link
FBgn0038946,LOC4801478,0,ortholog_one2one,rdhB
FBgn0031302,LOC6903174,1,ortholog_one2one,CG14340
FBgn0041236,LOC4803728,1,ortholog_one2one,Gr59d
FBgn0085472,LOC26532611,1,ortholog_one2one,CG34443
FBgn0035070,LOC4804688,1,ortholog_one2one,CG3650
FBgn0002791,LOC4804286,1,ortholog_one2one,mr
FBgn0010762,LOC4812933,1,ortholog_one2one,simj
FBgn0025678,LOC4817489,1,ortholog_one2one,CaBP1
FBgn0035866,LOC4814175,1,ortholog_one2one,Arl5
FBgn0031434,LOC4816341,1,ortholog_one2one,insv
FBgn0033232,LOC4805008,1,ortholog_one2one,CG12159
FBgn0052479,LOC4812931,1,ortholog_one2one,Usp10
FBgn0035569,LOC4812081,1,ortholog_one2one,CG15876
FBgn0032587,LOC4817497,1,ortholog_one2one,CG5953
FBgn0027594,LOC6900896,0,ortholog_one2one,drpr
FBgn0038705,LOC4803257,1,ortholog_one2one,CG11626
FBgn0032329,LOC117184280,1,ortholog_one2one,Art8
FBgn0039479,LOC6897066,1,ortholog_one2one,CG14257
FBgn0050393,LOC4803765,1,ortholog_many2many,CG30393
FBgn0050393,LOC6901952,0,ortholog_many2many,CG30393
FBgn0015221,LOC4800395,1,ortholog_one2one,Fer2LCH
FBgn0032085,LOC4816220,1,ortholog_one2one,CG9555
FBgn0034618,LOC4803778,1,ortholog_one2one,CG9485
FBgn0026874,LOC26533384,1,ortholog_one2one,CG13358
FBgn0034201,LOC6898920,1,ortholog_one2one,CG17290
FBgn0039504,LOC4801242,1,ortholog_one2one,CG14260
FBgn0038211,LOC4801623,1,ortholog_one2one,CG9649
FBgn0034894,LOC4804529,1,ortholog_one2one,sigmar
FBgn0040475,LOC4812546,1,ortholog_one2one,SH3PX1
