Gene stable ID,Gene name,FlyBase annotation ID,Gene type,Gene description
FBgn0038715,CG7333,CG7333,protein_coding,CG7333
FBgn0036423,CG3919,CG3919,protein_coding,CG3919
FBgn0032812,Hakai,CG10263,protein_coding,Hakai
FBgn0263201,MeU1b-A234,CR43567,snoRNA, MeU1b-A234
FBgn0085454,CG34425,CG34425,protein_coding,CG34425
FBgn0264895,RapGAP1,CG44086,protein_coding,Rap GTPase activating protein 1
FBgn0037481,MAGE,CG10059,protein_coding,MAGE
FBgn0260817,gkt,CG8825,protein_coding,glaikit
FBgn0052642,CG32642,CG32642,protein_coding,CG32642
FBgn0000576,ems,CG2988,protein_coding,empty spiracles
FBgn0063492,GstE8,CG17533,protein_coding,Glutathione S transferase E8
FBgn0022224,ubl,CG3450,protein_coding,ubiquitin like
FBgn0039505,CG5934,CG5934,protein_coding,CG5934
FBgn0032136,Apoltp,CG15828,protein_coding,Apolipoprotein lipid transfer particle
FBgn0015795,Rab7,CG5915,protein_coding,Rab7
FBgn0265152,CR44221,CR44221,ncRNA,CR44221
FBgn0266372,CR45016,CR45016,ncRNA,CR45016
FBgn0029996,UbcE2H,CG2257,protein_coding,Ubiquitin conjugating enzyme E2H
FBgn0039385,CG5913,CG5913,protein_coding,CG5913
FBgn0286731,Or-ACA8,CR46373,snoRNA,Orphan H/ACA box 8
FBgn0051928,CG31928,CG31928,protein_coding,CG31928
FBgn0037429,Osi19,CG15189,protein_coding,Osiris 19
FBgn0030691,Efhc1.1,CG8959,protein_coding,EF-hand domain containing 1.1
FBgn0028530,mTTF,CG18124,protein_coding,mitochondrial transcription termination factor
FBgn0035763,mrva,CG8602,protein_coding,minerva
FBgn0265853,CR44642,CR44642,ncRNA,CR44642
FBgn0267292,CR45728,CR45728,ncRNA,CR45728
FBgn0001077,ftz,CG2047,protein_coding,fushi tarazu
FBgn0036360,CG10713,CG10713,protein_coding,CG10713
FBgn0035434,Drsl5,CG10812,protein_coding,Drosomycin-like 5
FBgn0047330,CG32235,CG32235,protein_coding,CG32235
FBgn0262961,CG43272,CG43272,protein_coding,CG43272
FBgn0032139,CG13116,CG13116,protein_coding,CG13116
FBgn0031485,CG9643,CG9643,protein_coding,CG9643
FBgn0029914,CG4558,CG4558,protein_coding,CG4558
FBgn0053051,Polr3G,CG33051,protein_coding,RNA polymerase III subunit G
FBgn0052333,CG32333,CG32333,protein_coding,CG32333
FBgn0038787,CG4360,CG4360,protein_coding,CG4360
FBgn0086071,Or-CD11b,CR34700,snoRNA,CR34700
FBgn0264466,CR43874,CR43874,ncRNA,CR43874
FBgn0031266,Sf3b1,CG2807,protein_coding,Splicing factor 3b subunit 1
FBgn0029155,Men-b,CG5889,protein_coding,Malic enzyme b
FBgn0267326,Ntl,CG7075,protein_coding,Neurotransmitter transporter-like
FBgn0039930,Mpv17,CG11077,protein_coding,Mitochondrial inner membrane protein MPV17
FBgn0031418,CG3609,CG3609,protein_coding,CG3609
FBgn0036856,Mettl5,CG9666,protein_coding,Methyltransferase like 5
FBgn0265534,CR44384,CR44384,ncRNA,CR44384
FBgn0004781,Ccp84Ac,CG1327,protein_coding,Ccp84Ac
FBgn0030437,hec,CG4395,protein_coding,hector
FBgn0267442,CR45792,CR45792,ncRNA,CR45792
FBgn0265724,CR44531,CR44531,ncRNA,CR44531
FBgn0034563,CG15649,CG15649,protein_coding,CG15649
FBgn0040364,CG11378,CG11378,protein_coding,CG11378
FBgn0065094,419,CR33917,ncRNA,small non-coding RNA 419
FBgn0023407,B4,CG9239,protein_coding,B4
FBgn0261930,vnd,CG6172,protein_coding,ventral nervous system defective
FBgn0051538,CG31538,CG31538,protein_coding,CG31538
FBgn0022288,l(2)09851,CG12792,protein_coding,lethal (2) 09851
FBgn0267351,Topors,CG15104,protein_coding,Topoisomerase I-interacting protein
FBgn0054052,CR34052,CR34052,ncRNA,CR34052
FBgn0261245,sing,CG13011,protein_coding,singles bar
FBgn0036896,wnd,CG8789,protein_coding,wallenda
FBgn0267111,CR45551,CR45551,ncRNA,CR45551
FBgn0000277,CecA2,CG1367,protein_coding,Cecropin A2
FBgn0026778,Rad1,CG3240,protein_coding,Radiation insensitive 1
FBgn0053177,CG33177,CG33177,protein_coding,CG33177
FBgn0264383,CR43835,CR43835,ncRNA,CR43835
FBgn0024191,sip1,CG7238,protein_coding,septin interacting protein 1
FBgn0036016,CG3306,CG3306,protein_coding,CG3306
FBgn0286728,Or-CD13,CR46370,snoRNA,Orphan C/D box 13
FBgn0010607,l(2)05714,CG8886,protein_coding,lethal (2) 05714
FBgn0266043,CR44808,CR44808,ncRNA,CR44808
FBgn0038818,Nep4,CG4058,protein_coding,Neprilysin 4
FBgn0051703,tplus3b,CG31703,protein_coding,testis-specific Plus3 domain b
FBgn0031526,CG8838,CG8838,protein_coding,CG8838
FBgn0085436,Not1,CG34407,protein_coding,Not1
FBgn0038789,Ir92a,CG15685,protein_coding,Ionotropic receptor 92a
FBgn0053770,CG33770,CG33770,protein_coding,CG33770
FBgn0052786,Gem4b,CG32786,protein_coding,Gemin 4b
FBgn0259712,CG42366,CG42366,protein_coding,CG42366
FBgn0264605,CG43954,CG43954,protein_coding,CG43954
FBgn0030411,CG2540,CG2540,protein_coding,CG2540
FBgn0083047,Psi18S-1377e,CR34625,snoRNA,Psi18S-1377e
FBgn0267519,CR45859,CR45859,pseudogene,CR45859
FBgn0266205,CR44900,CR44900,ncRNA,CR44900
FBgn0051803,Rsph9,CG31803,protein_coding,Radial spoke head protein 9
FBgn0032789,CG13083,CG13083,protein_coding,CG13083
FBgn0038240,CG14851,CG14851,protein_coding,CG14851
FBgn0035379,spz5,CG9972,protein_coding,spatzle 5
FBgn0015558,tty,CG1693,protein_coding,tweety
FBgn0266632,CR45139,CR45139,ncRNA,CR45139
FBgn0032988,Tif-IA,CG3278,protein_coding,Tif-IA
FBgn0038432,CG14883,CG14883,protein_coding,CG14883
FBgn0037203,slif,CG11128,protein_coding,slimfast
FBgn0032116,Mco1,CG3759,protein_coding,Multicopper oxidase 1
FBgn0033794,CG13326,CG13326,protein_coding,CG13326
FBgn0029506,Tsp42Ee,CG10106,protein_coding,Tetraspanin 42Ee
FBgn0052115,CG32115,CG32115,protein_coding,CG32115
FBgn0051128,CG31128,CG31128,protein_coding,CG31128
FBgn0286926,CR46423,CR46423,pseudogene,CR46423
FBgn0033141,CG12831,CG12831,protein_coding,CG12831
FBgn0263658,CR43649,CR43649,ncRNA,CR43649
FBgn0039650,Mesh1,CG11900,protein_coding,Metazoan SpoT homolog-1
FBgn0052095,CG32095,CG32095,protein_coding,CG32095
FBgn0034942,CG13566,CG13566,protein_coding,CG13566
FBgn0036416,CG7924,CG7924,protein_coding,CG7924
FBgn0030589,CG9519,CG9519,protein_coding,CG9519
FBgn0050239,Glu-CTC-1-1,CR30239,tRNA,Glutamic acid-CTC 1-1
FBgn0001978,stc,CG3647,protein_coding,shuttle craft
FBgn0032530,CG9263,CG9263,protein_coding,CG9263
FBgn0038597,CG8064,CG8064,protein_coding,CG8064
FBgn0039668,Trc8,CG2304,protein_coding,TRC8 ring finger protein
FBgn0264373,CR43825,CR43825,ncRNA,CR43825
FBgn0030349,CG10353,CG10353,protein_coding,CG10353
FBgn0002842,sa,CG11308,protein_coding,spermatocyte arrest
FBgn0038069,CG11608,CG11608,protein_coding,CG11608
FBgn0023167,SmD3,CG8427,protein_coding,Small ribonucleoprotein particle protein SmD3
FBgn0039424,ppk15,CG14239,protein_coding,pickpocket 15
FBgn0030808,RhoGAP15B,CG4937,protein_coding,Rho GTPase activating protein at 15B
FBgn0039816,CG11317,CG11317,protein_coding,CG11317
FBgn0262293,mir-2490,CR43000,ncRNA,mir-2490 stem loop
FBgn0050299,Thr-AGT-1-2,CR30299,tRNA,Threonine-AGT 1-2
FBgn0035795,CG16998,CG16998,protein_coding,CG16998
FBgn0024912,agt,CG1303,protein_coding,O-6-alkylguanine-DNA alkyltransferase
FBgn0259985,Mppe,CG8889,protein_coding,Metallophosphoesterase
FBgn0031784,CG9222,CG9222,protein_coding,CG9222
FBgn0025693,ZnT41F,CG11163,protein_coding,Zinc transporter 41F
FBgn0053138,AGBE,CG33138,protein_coding,"1,4-Alpha-Glucan Branching Enzyme"
FBgn0037386,CG1208,CG1208,protein_coding,CG1208
FBgn0037084,Syx6,CG7736,protein_coding,Syntaxin 6
FBgn0052512,CG32512,CG32512,protein_coding,CG32512
FBgn0031306,CG4577,CG4577,protein_coding,CG4577
FBgn0014861,Mcm2,CG7538,protein_coding,Minichromosome maintenance 2
FBgn0264952,CR44121,CR44121,ncRNA,CR44121
FBgn0025355,SuUR,CG7869,protein_coding,Suppressor of Under-Replication
FBgn0039945,CG17159,CG17159,protein_coding,CG17159
FBgn0265948,CR44735,CR44735,ncRNA,CR44735
FBgn0264501,CR43900,CR43900,ncRNA,CR43900
FBgn0039129,RpS19b,CG5338,protein_coding,Ribosomal protein S19b
FBgn0067864,Patj,CG12021,protein_coding,Patj
FBgn0030330,Tango10,CG1841,protein_coding,Transport and Golgi organization 10
FBgn0054049,CG34049,CG34049,protein_coding,CG34049
FBgn0015288,RpL22,CG7434,protein_coding,Ribosomal protein L22
FBgn0260238,CG42512,CG42512,protein_coding,CG42512
FBgn0029723,Proc-R,CG6986,protein_coding,Proctolin receptor
FBgn0029905,Nf-YC,CG3075,protein_coding,Nuclear factor Y-box C
FBgn0288735,CG46510,CG46510,protein_coding,CG46510
FBgn0028374,Hug,CG6371,protein_coding,Hugin
FBgn0002645,Map205,CG1483,protein_coding,Microtubule-associated protein 205
FBgn0051158,Efa6,CG31158,protein_coding,Exchange factor for Arf 6
FBgn0265677,CR44484,CR44484,ncRNA,CR44484
FBgn0067779,dbr,CG11371,protein_coding,debra
FBgn0033164,CG11112,CG11112,protein_coding,CG11112
FBgn0005659,Ets98B,CG5583,protein_coding,Ets at 98B
FBgn0260945,Atg1,CG10967,protein_coding,Autophagy-related 1
FBgn0087005,rtp,CG10233,protein_coding,retinophilin
FBgn0036830,COX6AL2,CG14077,protein_coding,Cytochrome c oxidase subunit 6A-like 2
FBgn0016041,Tom40,CG12157,protein_coding,Translocase of outer membrane 40
FBgn0032150,CG13123,CG13123,protein_coding,CG13123
FBgn0029752,TrxT,CG3315,protein_coding,Thioredoxin T
FBgn0002626,RpL32,CG7939,protein_coding,Ribosomal protein L32
FBgn0024734,PRL-1,CG4993,protein_coding,PRL-1 phosphatase
FBgn0004907,14-3-3zeta,CG17870,protein_coding,14-3-3zeta
FBgn0020887,Su(z)12,CG8013,protein_coding,Su(z)12
FBgn0032660,elfless,CG15150,protein_coding,elfless
FBgn0026189,promL,CG7740,protein_coding,prominin-like
FBgn0087012,5-HT2A,CG1056,protein_coding,5-hydroxytryptamine (serotonin) receptor 2A
FBgn0036230,CG11570,CG11570,protein_coding,CG11570
FBgn0040235,c12.1,CG12135,protein_coding,c12.1
FBgn0035537,CG11342,CG11342,protein_coding,CG11342
FBgn0037206,CG12768,CG12768,protein_coding,CG12768
FBgn0033616,CG7745,CG7745,protein_coding,CG7745
FBgn0036938,CG14187,CG14187,protein_coding,CG14187
FBgn0050424,cGlr2,CG30424,protein_coding,cGAS-like receptor 2
FBgn0085673,CR41533,CR41533,ncRNA,CR41533
FBgn0040949,CG13998,CG13998,protein_coding,CG13998
FBgn0267100,CR45540,CR45540,ncRNA,CR45540
FBgn0011957,Arg-ACG-1-2,CR30512,tRNA,Arginine-ACG 1-2
FBgn0082942,Me28S-A982b,CR34528,snoRNA,Me28S-A982b
FBgn0032365,CG14929,CG14929,protein_coding,CG14929
FBgn0063373,54Ec,CR32901,snoRNA,54Ec
FBgn0267531,CR45871,CR45871,ncRNA,CR45871
FBgn0053503,Cyp12d1-d,CG33503,protein_coding,Cytochrome P450 12d1 distal
FBgn0031050,Arp10,CG12235,protein_coding,Actin-related protein 10
FBgn0028479,Mtpalpha,CG4389,protein_coding,Mitochondrial trifunctional protein alpha subunit
FBgn0266356,CR45004,CR45004,ncRNA,CR45004
FBgn0267071,CR45515,CR45515,ncRNA,CR45515
FBgn0262148,CR42874,CR42874,ncRNA,CR42874
FBgn0002735,E(spl)mgamma-HLH,CG8333,protein_coding,"Enhancer of split mgamma, helix-loop-helix"
FBgn0033808,CG4627,CG4627,protein_coding,CG4627
FBgn0264346,CR43802,CR43802,ncRNA,CR43802
FBgn0266970,CR45421,CR45421,ncRNA,CR45421
FBgn0266139,CR44845,CR44845,ncRNA,CR44845
FBgn0033364,CG13747,CG13747,protein_coding,CG13747
FBgn0259110,mmd,CG42252,protein_coding,mind-meld
FBgn0031413,CG9967,CG9967,protein_coding,CG9967
FBgn0036324,CG12520,CG12520,protein_coding,CG12520
FBgn0083008,Psi28S-1135e,CR34601,snoRNA,Psi28S-1135e
FBgn0036969,Spn77Bb,CG6663,protein_coding,Serpin 77Bb
FBgn0030097,CG12115,CG12115,protein_coding,CG12115
FBgn0034846,CG9863,CG9863,protein_coding,CG9863
FBgn0031091,Phf7,CG9576,protein_coding,PHD finger protein 7
FBgn0031580,CG15423,CG15423,protein_coding,CG15423
FBgn0030276,Dlic,CG1938,protein_coding,Dynein light intermediate chain
FBgn0259860,CR42429,CR42429,ncRNA,CR42429
FBgn0266242,CR44937,CR44937,ncRNA,CR44937
FBgn0031392,AIF,CG7263,protein_coding,Apoptosis inducing factor
FBgn0022029,l(2)k01209,CG4798,protein_coding,lethal (2) k01209
FBgn0265458,CR44358,CR44358,ncRNA,CR44358
FBgn0035581,Dnah3,CG17150,protein_coding,"dynein, axonemal, heavy chain 3"
FBgn0052011,CR32011,CR32011,pseudogene,CR32011
FBgn0051439,Muc96D,CG31439,protein_coding,Mucin 96D
FBgn0040904,CG15577,CG15577,protein_coding,CG15577
FBgn0267301,CR45737,CR45737,ncRNA,CR45737
FBgn0000014,abd-A,CG10325,protein_coding,abdominal A
FBgn0000618,e(y)2,CG15191,protein_coding,enhancer of yellow 2
FBgn0085736,CG40472,CG40472,protein_coding,CG40472
FBgn0020907,Scp2,CG14904,protein_coding,Sarcoplasmic calcium-binding protein 2
FBgn0033696,Cyp6g2,CG8859,protein_coding,Cytochrome P450 6g2
FBgn0038619,CG7685,CG7685,protein_coding,CG7685
FBgn0250835,CG15394,CG15394,protein_coding,CG15394
FBgn0051287,CG31287,CG31287,protein_coding,CG31287
FBgn0026206,mei-P26,CG12218,protein_coding,meiotic P26
FBgn0267472,CR45822,CR45822,ncRNA,CR45822
FBgn0031802,ppk7,CG9499,protein_coding,pickpocket 7
FBgn0264573,CR43945,CR43945,ncRNA,CR43945
FBgn0037543,CG10903,CG10903,protein_coding,CG10903
FBgn0264085,CR43754,CR43754,ncRNA,CR43754
FBgn0039749,CG11498,CG11498,protein_coding,CG11498
FBgn0266223,CR44918,CR44918,ncRNA,CR44918
FBgn0034959,Xxylt,CG11388,protein_coding,Xyloside xylosyltransferase
FBgn0050223,His-GTG-1-5,CR30223,tRNA,Histidine-GTG 1-5
FBgn0035641,CG5568,CG5568,protein_coding,CG5568
FBgn0040028,CG17450,CG17450,protein_coding,CG17450
FBgn0261839,pre-mod(mdg4)-Y,CG42771,protein_coding,CG42771
FBgn0261706,CR42742,CR42742,ncRNA,CR42742
FBgn0083970,CG34134,CG34134,protein_coding,CG34134
FBgn0285896,btl,CG32134,protein_coding,breathless
FBgn0086447,Polr1D,CG10685,protein_coding,RNA polymerase I and III subunit D
FBgn0267793,CR45232,CR45232,ncRNA,CR45232
FBgn0024320,Npc1a,CG5722,protein_coding,Niemann-Pick type C-1a
FBgn0035392,CG1271,CG1271,protein_coding,CG1271
FBgn0086067,Me28S-A771,CR34696,snoRNA,CR34696
FBgn0032160,CG4598,CG4598,protein_coding,CG4598
FBgn0034351,rswl,CG5190,protein_coding,roswell
FBgn0264305,CG43783,CG43783,protein_coding,CG43783
FBgn0053193,sav,CG33193,protein_coding,salvador
FBgn0020307,dve,CG5799,protein_coding,defective proventriculus
FBgn0033481,CG12920,CG12920,protein_coding,CG12920
FBgn0004456,mew,CG1771,protein_coding,multiple edematous wings
FBgn0052702,Cubn,CG32702,protein_coding,Cubilin
FBgn0030269,CDK2AP1,CG18292,protein_coding,CDK2-associated protein 1
FBgn0053535,Glu-TTC-1-3,CR33535,tRNA,Glutamic acid-TTC 1-3
FBgn0037624,Nasp,CG8223,protein_coding,Nuclear autoantigenic sperm protein
FBgn0053544,Vkor,CG33544,protein_coding,Vitamin-K epoxide reductase
FBgn0250755,CG42233,CG42233,protein_coding,CG42233
FBgn0265876,CR44665,CR44665,ncRNA,CR44665
FBgn0043012,AP-2sigma,CG6056,protein_coding,"Adaptor Protein complex 2, sigma subunit"
FBgn0033429,CG12929,CG12929,protein_coding,CG12929
FBgn0266629,CR45136,CR45136,ncRNA,CR45136
FBgn0000241,bw,CG17632,protein_coding,brown
FBgn0261353,Ccdc56,CG42630,protein_coding,Coiled-coil domain containing 56
FBgn0261611,CG42700,CG42700,protein_coding,CG42700
FBgn0026396,Or22c,CG15377,protein_coding,Odorant receptor 22c
FBgn0024986,CG3719,CG3719,protein_coding,CG3719
FBgn0036345,CG17300,CG17300,protein_coding,CG17300
FBgn0086677,jeb,CG30040,protein_coding,jelly belly
FBgn0030364,Lsm12a,CG15735,protein_coding,LSM12 homolog a
FBgn0040372,G9a,CG2995,protein_coding,G9a
FBgn0265753,CR44560,CR44560,ncRNA,CR44560
FBgn0029713,CG11436,CG11436,protein_coding,CG11436
FBgn0267535,CR45875,CR45875,ncRNA,CR45875
FBgn0033121,Cyp6u1,CG3567,protein_coding,Cytochrome P450 6u1
FBgn0051070,Gln-TTG-1-3,CR31070,tRNA,Glutamine-TTG 1-3
FBgn0267671,CR46007,CR46007,ncRNA,CR46007
FBgn0263620,CR43629,CR43629,ncRNA,CR43629
FBgn0032409,Ced-12,CG5336,protein_coding,Ced-12
FBgn0012051,CalpA,CG7563,protein_coding,Calpain-A
FBgn0051115,CG31115,CG31115,protein_coding,CG31115
FBgn0000581,E(Pc),CG7776,protein_coding,Enhancer of Polycomb
FBgn0264302,wrm1,CG43780,protein_coding,wurmchen 1
FBgn0267687,CR46023,CR46023,ncRNA,CR46023
FBgn0265627,CG44435,CG44435,protein_coding,CG44435
FBgn0260759,CG42557,CG42557,protein_coding,CG42557
FBgn0265871,CR44660,CR44660,ncRNA,CR44660
FBgn0020255,Ran,CG1404,protein_coding,Ran
FBgn0086681,Mst36Fa,CG31801,protein_coding,Male-specific transcript 36Fa
FBgn0263484,Pi4KIIalpha-a,CR43599,snoRNA,CR43599
FBgn0050232,Ala-TGC-1-1,CR30232,tRNA,Alanine-TGC 1-1
FBgn0036695,Papst2,CG7853,protein_coding,PAPS transporter 2
FBgn0033203,CG2070,CG2070,protein_coding,CG2070
FBgn0259918,inaF-B,CG42447,protein_coding,inaF-B
FBgn0264725,CG43993,CG43993,protein_coding,CG43993
FBgn0030824,CG5070,CG5070,protein_coding,CG5070
FBgn0010660,Nup214,CG3820,protein_coding,Nucleoporin 214kD
FBgn0259856,CR42425,CR42425,ncRNA,CR42425
FBgn0050365,spaw,CG30365,protein_coding,spacewatch
FBgn0013348,TpnC41C,CG2981,protein_coding,Troponin C at 41C
FBgn0266734,CG45207,CG45207,protein_coding,CG45207
FBgn0085458,CG34429,CG34429,protein_coding,CG34429
FBgn0033248,Dic3,CG11196,protein_coding,Dicarboxylate carrier 3
FBgn0004590,Eig71Ec,CG7608,protein_coding,Ecdysone-induced gene 71Ec
FBgn0250907,Cht10,CG18140,protein_coding,Chitinase 10
FBgn0052462,CG32462,CG32462,protein_coding,CG32462
FBgn0035298,SCOT,CG1140,protein_coding,3-ketoacid CoA transferase
FBgn0265851,CR44640,CR44640,ncRNA,CR44640
FBgn0036873,CG18294,CG18294,protein_coding,CG18294
FBgn0032169,CG4709,CG4709,protein_coding,CG4709
FBgn0053481,dpr7,CG33481,protein_coding,defective proboscis extension response 7
FBgn0004687,Mlc-c,CG3201,protein_coding,Myosin light chain cytoplasmic
FBgn0002543,robo2,CG5481,protein_coding,roundabout 2
FBgn0014411,Vps26,CG14804,protein_coding,Vacuolar protein sorting 26
FBgn0036364,CG14109,CG14109,protein_coding,CG14109
FBgn0085461,CG34432,CG34432,protein_coding,CG34432
FBgn0042207,CG18530,CG18530,protein_coding,CG18530
FBgn0041707,7B2,CG1168,protein_coding,7B2
FBgn0051832,CG31832,CG31832,protein_coding,CG31832
FBgn0261709,CR42746,CR42746,ncRNA,CR42746
FBgn0014018,Rel,CG11992,protein_coding,Relish
FBgn0028980,tant,CG6586,protein_coding,tantalus
FBgn0267210,CR45650,CR45650,ncRNA,CR45650
FBgn0053653,Cadps,CG33653,protein_coding,Calcium-dependent secretion activator
FBgn0082960,Psi28S-3405a,CR34618,snoRNA,Psi28S-3405a
FBgn0039476,CG6271,CG6271,protein_coding,CG6271
FBgn0036419,CG13482,CG13482,protein_coding,CG13482
FBgn0028986,Spn38F,CG9334,protein_coding,Serpin 38F
FBgn0033635,Prip,CG7777,protein_coding,Prip
FBgn0263489,CR43604,CR43604,ncRNA,CR43604
FBgn0261702,CR42738,CR42738,ncRNA,CR42738
FBgn0262341,mir-976,CR43048,ncRNA,mir-976 stem loop
FBgn0001296,kar,CG12286,protein_coding,karmoisin
FBgn0283553,mir-9379,CR46287,ncRNA,mir-9379 stem loop
FBgn0283439,CG46281,CG46281,protein_coding,CG46281
FBgn0053170,CG33170,CG33170,protein_coding,CG33170
FBgn0267756,CR46087,CR46087,ncRNA,CR46087
FBgn0040906,CG15579,CG15579,protein_coding,CG15579
FBgn0027499,wde,CG12340,protein_coding,windei
FBgn0035042,CG3640,CG3640,protein_coding,CG3640
FBgn0030572,mRpS25,CG14413,protein_coding,mitochondrial ribosomal protein S25
FBgn0050380,CG30380,CG30380,protein_coding,CG30380
FBgn0278599,CR46269,CR46269,ncRNA,CR46269
FBgn0288739,CG46514,CG46514,protein_coding,CG46514
FBgn0052267,CG32267,CG32267,protein_coding,CG32267
FBgn0035829,HP4,CG8044,protein_coding,Heterochromatin protein 4
FBgn0038106,CG7488,CG7488,protein_coding,CG7488
FBgn0002863,Acp95EF,CG17924,protein_coding,Accessory gland protein 95EF
FBgn0033656,S2P,CG8988,protein_coding,site-2 protease
FBgn0266719,stac,CG34349,protein_coding,staccato
FBgn0264827,CR44035,CR44035,ncRNA,CR44035
FBgn0264549,CR43928,CR43928,ncRNA,CR43928
FBgn0035872,Cpsf6,CG7185,protein_coding,Cleavage and polyadenylation specific factor 6
FBgn0265786,CR44575,CR44575,ncRNA,CR44575
FBgn0038213,CG9624,CG9624,protein_coding,CG9624
FBgn0029809,CG15767,CG15767,protein_coding,CG15767
FBgn0062413,Ctr1A,CG3977,protein_coding,Copper transporter 1A
FBgn0039864,CG11550,CG11550,protein_coding,CG11550
FBgn0050183,CG30183,CG30183,protein_coding,CG30183
FBgn0032490,CG16813,CG16813,protein_coding,CG16813
FBgn0030966,shop,CG7280,protein_coding,shopper
FBgn0087007,bbg,CG42230,protein_coding,big bang
FBgn0026385,Or47b,CG13206,protein_coding,Odorant receptor 47b
FBgn0264775,CG44013,CG44013,protein_coding,CG44013
FBgn0263511,Vsx1,CG4136,protein_coding,Visual system homeobox 1
FBgn0266311,CR44976,CR44976,ncRNA,CR44976
FBgn0262237,mir-2491,CR42944,ncRNA,mir-2491 stem loop
FBgn0052817,CG32817,CG32817,protein_coding,CG32817
FBgn0028848,Gpo3,CG7311,protein_coding,Glycerophosphate oxidase 3
FBgn0063392,30Ea,CR32875,snoRNA,30Ea
FBgn0010403,Obp83b,CG11422,protein_coding,Odorant-binding protein 83b
FBgn0085203,CG34174,CG34174,protein_coding,CG34174
FBgn0028708,Mst85C,CG11993,protein_coding,Mst85C
FBgn0053985,CG33985,CG33985,protein_coding,CG33985
FBgn0034657,LBR,CG17952,protein_coding,Lamin B receptor
FBgn0032086,CG17906,CG17906,protein_coding,CG17906
FBgn0005638,slbo,CG4354,protein_coding,slow border cells
FBgn0085390,Dgk,CG34361,protein_coding,Diacyl glycerol kinase
FBgn0037304,CG1113,CG1113,protein_coding,CG1113
FBgn0038268,CG3631,CG3631,protein_coding,CG3631
FBgn0030763,CG9782,CG9782,protein_coding,CG9782
FBgn0005427,ewg,CG3114,protein_coding,erect wing
FBgn0034627,eEFSec,CG9841,protein_coding,"eukaryotic translation elongation factor, selenocysteine-specific"
FBgn0263401,CG43447,CG43447,protein_coding,CG43447
FBgn0011960,Arg-ACG-1-9,CR31566,tRNA,Arginine-ACG 1-9
FBgn0042186,CG17239,CG17239,protein_coding,CG17239
FBgn0266913,CR45373,CR45373,ncRNA,CR45373
FBgn0040355,CG3526,CG3526,protein_coding,CG3526
FBgn0035478,CG10853,CG10853,protein_coding,CG10853
FBgn0015575,alpha-Est7,CG1112,protein_coding,alpha-Esterase-7
FBgn0050044,s-cup,CG30044,protein_coding,stanley-cup
FBgn0267597,CR45935,CR45935,ncRNA,CR45935
FBgn0264571,CR43943,CR43943,ncRNA,CR43943
FBgn0267551,CR45891,CR45891,ncRNA,CR45891
FBgn0051577,Ala-AGC-1-1,CR31577,tRNA,Alanine-AGC 1-1
FBgn0035949,CG13314,CG13314,protein_coding,CG13314
FBgn0039838,CAH6,CG3669,protein_coding,Carbonic anhydrase 6
FBgn0003090,pk,CG11084,protein_coding,prickle
FBgn0262869,Gfrl,CG43224,protein_coding,Glial cell line-derived neurotrophic family receptor-like
FBgn0083936,Acp54A1,CG34098,protein_coding,Accessory gland protein 54A1
FBgn0087039,Sbp2,CG7066,protein_coding,SECIS-binding protein 2
FBgn0288835,MSAmiP,CG46527,protein_coding,MSA micropeptide
FBgn0263026,CG43321,CG43321,protein_coding,CG43321
FBgn0031240,CG3345,CG3345,protein_coding,CG3345
FBgn0264560,garz,CG8487,protein_coding,gartenzwerg
FBgn0031627,fipi,CG15630,protein_coding,factor of interpulse interval
FBgn0033720,CG13160,CG13160,protein_coding,CG13160
FBgn0266152,CR44858,CR44858,ncRNA,CR44858
FBgn0051231,CG31231,CG31231,protein_coding,CG31231
FBgn0039907,lgs,CG2041,protein_coding,legless
FBgn0040505,Alk,CG8250,protein_coding,Anaplastic lymphoma kinase
FBgn0083123,Uhg5,CR42452,ncRNA,U snoRNA host gene 5
FBgn0266579,tau,CG45110,protein_coding,tau
FBgn0267805,CR46130,CR46130,ncRNA,CR46130
FBgn0034493,CG8908,CG8908,protein_coding,CG8908
FBgn0052288,Cys-GCA-1-1,CR32288,tRNA,Cysteine-GCA 1-1
FBgn0032354,Boh2,CG4788,protein_coding,Buddy of Hmr 2
FBgn0052440,CG32440,CG32440,protein_coding,CG32440
FBgn0035586,Fitm,CG10671,protein_coding,Fat storage inducing transmembrane protein
FBgn0002592,E(spl)m2-BFM,CG6104,protein_coding,"Enhancer of split m2, Bearded family member"
FBgn0026064,KP78a,CG6715,protein_coding,KP78a
FBgn0287586,CG46456,CG46456,protein_coding,CG46456
FBgn0052351,S-Lap2,CG32351,protein_coding,Sperm-Leucylaminopeptidase 2
FBgn0259823,CG42404,CG42404,protein_coding,CG42404
FBgn0033592,CG13215,CG13215,protein_coding,CG13215
FBgn0051591,Val-AAC-1-2,CR31591,tRNA,Valine-AAC 1-2
FBgn0065104,158,CR33749,ncRNA,small non-coding RNA 158
FBgn0031850,Tsp,CG11326,protein_coding,Thrombospondin
FBgn0036446,Mgat4a,CG9384,protein_coding,"alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase a"
FBgn0033669,PI31,CG8979,protein_coding,Proteasome inhibitor 31 kDa
FBgn0259482,Mob3,CG4946,protein_coding,MOB kinase activator 3
FBgn0266218,CR44913,CR44913,ncRNA,CR44913
FBgn0266116,CR44842,CR44842,ncRNA,CR44842
