"","Dmel.Gene.stable.ID","Dpse.Gene.stable.ID","Dpse.Gene.name","Dpse.Gene.type","LOC","Dmel.Gene.name.x","Dmel.orthology.confidence","Dmel.orthology.type","Dmel.Gene.name.y","Flybase.annotation.ID","Dmel.Gene.type","Dmel.Gene.description"
"20","FBgn0000046","LOC4801993","","protein_coding",4801993,"Act87E",1,"ortholog_one2one","Act87E","CG18290","protein_coding","Actin 87E"
"21","FBgn0000047","LOC6896970","","protein_coding",6896970,"Act88F",1,"ortholog_one2one","Act88F","CG5178","protein_coding","Actin 88F"
"22","FBgn0000052","LOC4817941","","protein_coding",4817941,"Pfas",1,"ortholog_one2one","Pfas","CG9127","protein_coding","Phosphoribosylformylglycinamidine synthase"
"23","FBgn0000053","LOC4817813","","protein_coding",4817813,"Gart",1,"ortholog_one2one","Gart","CG31628","protein_coding","GART trifunctional enzyme"
"24","FBgn0000055","LOC4818070","","protein_coding",4818070,"Adh",1,"ortholog_one2one","Adh","CG3481","protein_coding","Alcohol dehydrogenase"
"25","FBgn0000056","LOC6903503","","protein_coding",6903503,"Adhr",1,"ortholog_one2one","Adhr","CG3484","protein_coding","Adh-related"
"26","FBgn0000057","LOC4804154","","protein_coding",4804154,"adp",1,"ortholog_one2one","adp","CG5124","protein_coding","adipose"
"27","FBgn0000061",NA,NA,NA,NA,NA,NA,NA,"al","CG3935","protein_coding","aristaless"
"28","FBgn0000063","LOC4802680","","protein_coding",4802680,"Mps1",1,"ortholog_one2one","Mps1","CG7643","protein_coding","Monopolar spindle 1"
"29","FBgn0000064","LOC4802184","","protein_coding",4802184,"Ald1",1,"ortholog_one2one","Ald1","CG6058","protein_coding","Aldolase 1"
"30","FBgn0000071","LOC4802260","","protein_coding",4802260,"Ama",1,"ortholog_one2one","Ama","CG2198","protein_coding","Amalgam"
"31","FBgn0000075","LOC4816707","","protein_coding",4816707,"amd",1,"ortholog_one2many","amd","CG10501","protein_coding","alpha methyl dopa-resistant"
"32","FBgn0000075","LOC117183959","","protein_coding",117183959,"amd",1,"ortholog_one2many","amd","CG10501","protein_coding","alpha methyl dopa-resistant"
"33","FBgn0000077","LOC4814592","","protein_coding",4814592,"amx",1,"ortholog_one2one","amx","CG12127","protein_coding","almondex"
"34","FBgn0000078",NA,NA,NA,NA,NA,NA,NA,"Amy-d","CG17876","protein_coding","Amylase distal"
"35","FBgn0000079",NA,NA,NA,NA,NA,NA,NA,"Amy-p","CG18730","protein_coding","Amylase proximal"
"36","FBgn0000083","LOC4803297","","protein_coding",4803297,"AnxB9",1,"ortholog_one2one","AnxB9","CG5730","protein_coding","Annexin B9"
"37","FBgn0000084","LOC4814884","","protein_coding",4814884,"AnxB10",1,"ortholog_one2one","AnxB10","CG9579","protein_coding","Annexin B10"
"38","FBgn0000092","LOC4815382","","protein_coding",4815382,"dyw",0,"ortholog_one2one","dyw","CG2650","protein_coding","daywake"
"39","FBgn0000094",NA,NA,NA,NA,NA,NA,NA,"Anp","CG1361","protein_coding","Andropin"
"40","FBgn0000097","LOC4817298","","protein_coding",4817298,"aop",1,"ortholog_one2one","aop","CG3166","protein_coding","anterior open"
"41","FBgn0000100","LOC4812415","","protein_coding",4812415,"RpLP0",1,"ortholog_one2one","RpLP0","CG7490","protein_coding","Ribosomal protein LP0"
"42","FBgn0000108","LOC4815376","","protein_coding",4815376,"Appl",1,"ortholog_one2one","Appl","CG7727","protein_coding","beta amyloid protein precursor-like"
"43","FBgn0000109","LOC4813348","","protein_coding",4813348,"Aprt",1,"ortholog_one2one","Aprt","CG18315","protein_coding","Adenine phosphoribosyltransferase"
"44","FBgn0000114","LOC6902998","","protein_coding",6902998,"bru1",0,"ortholog_one2one","bru1","CG31762","protein_coding","bruno 1"
"45","FBgn0000115","LOC4812206","","protein_coding",4812206,"Arl1",1,"ortholog_one2one","Arl1","CG6025","protein_coding","ADP ribosylation factor-like 1"
"46","FBgn0000116","LOC4814030","","protein_coding",4814030,"Argk1",1,"ortholog_one2one","Argk1","CG32031","protein_coding","Arginine kinase 1"
"47","FBgn0000117","LOC6901160","","protein_coding",6901160,"arm",1,"ortholog_one2one","arm","CG11579","protein_coding","armadillo"
"48","FBgn0000119","LOC4804381","","protein_coding",4804381,"arr",1,"ortholog_one2one","arr","CG5912","protein_coding","arrow"
"49","FBgn0000120","LOC4817658","","protein_coding",4817658,"Arr1",1,"ortholog_one2one","Arr1","CG5711","protein_coding","Arrestin 1"
"50","FBgn0000121","LOC4812725","","protein_coding",4812725,"Arr2",1,"ortholog_one2one","Arr2","CG5962","protein_coding","Arrestin 2"
"51","FBgn0000137","LOC4814683","","protein_coding",4814683,"ase",1,"ortholog_one2one","ase","CG3258","protein_coding","asense"
"52","FBgn0000139","LOC6896754","","protein_coding",6896754,"ash2",1,"ortholog_one2one","ash2","CG6677","protein_coding","absent, small, or homeotic discs 2"
"53","FBgn0000140","LOC6896752","","protein_coding",6896752,"asp",1,"ortholog_one2one","asp","CG6875","protein_coding","abnormal spindle"
"54","FBgn0000146","LOC117183186","","protein_coding",117183186,"aub",0,"ortholog_one2many","aub","CG6137","protein_coding","aubergine"
"55","FBgn0000146","LOC117184134","","protein_coding",117184134,"aub",0,"ortholog_one2many","aub","CG6137","protein_coding","aubergine"
"56","FBgn0000146","LOC4817993","","protein_coding",4817993,"aub",0,"ortholog_one2many","aub","CG6137","protein_coding","aubergine"
"57","FBgn0000147","LOC4802576","","protein_coding",4802576,"aurA",1,"ortholog_one2one","aurA","CG3068","protein_coding","aurora A"
"58","FBgn0000150","LOC6897407","","protein_coding",6897407,"awd",1,"ortholog_one2one","awd","CG2210","protein_coding","abnormal wing discs"
"59","FBgn0000152","LOC4814688","","protein_coding",4814688,"Axs",1,"ortholog_one2one","Axs","CG9703","protein_coding","Abnormal X segregation"
"60","FBgn0000153","LOC4816279","","protein_coding",4816279,"b",1,"ortholog_one2one","b","CG7811","protein_coding","black"
"61","FBgn0000157","LOC4804689","","protein_coding",4804689,"Dll",1,"ortholog_one2one","Dll","CG3629","protein_coding","Distal-less"
"62","FBgn0000158","LOC4803214","","protein_coding",4803214,"bam",1,"ortholog_one2one","bam","CG10422","protein_coding","bag of marbles"
"63","FBgn0000163","LOC4814543","","protein_coding",4814543,"baz",1,"ortholog_one2one","baz","CG5055","protein_coding","bazooka"
"64","FBgn0000166","LOC4802261","","protein_coding",4802261,"bcd",1,"ortholog_one2one","bcd","CG1034","protein_coding","bicoid"
"65","FBgn0000173","LOC4814501","","protein_coding",4814501,"ben",1,"ortholog_one2one","ben","CG18319","protein_coding","bendless"
"66","FBgn0000179","LOC6902035","","protein_coding",6902035,"bi",1,"ortholog_one2one","bi","CG3578","protein_coding","bifid"
"67","FBgn0000180","LOC4817353","","protein_coding",4817353,"bib",1,"ortholog_one2one","bib","CG4722","protein_coding","big brain"
"68","FBgn0000181","LOC4805193","","protein_coding",4805193,"bic",1,"ortholog_one2one","bic","CG3644","protein_coding","bicaudal"
"69","FBgn0000182","LOC4816374","","protein_coding",4816374,"BicC",1,"ortholog_one2one","BicC","CG4824","protein_coding","Bicaudal C"
"70","FBgn0000183","LOC6903243","","protein_coding",6903243,"BicD",0,"ortholog_one2one","BicD","CG6605","protein_coding","Bicaudal D"
"71","FBgn0000206","LOC4802218","","protein_coding",4802218,"boss",1,"ortholog_one2one","boss","CG8285","protein_coding","bride of sevenless"
"72","FBgn0000212","LOC4812909","","protein_coding",4812909,"brm",0,"ortholog_many2many","brm","CG5942","protein_coding","brahma"
"73","FBgn0000212","LOC6900296","","protein_coding",6900296,"brm",1,"ortholog_many2many","brm","CG5942","protein_coding","brahma"
"74","FBgn0000216","LOC4813012","","protein_coding",4813012,"Brd",1,"ortholog_one2one","Brd","CG3096","protein_coding","Bearded"
"75","FBgn0000221","LOC4815306","","protein_coding",4815306,"brn",1,"ortholog_one2one","brn","CG4934","protein_coding","brainiac"
"76","FBgn0000227","LOC4817695","","protein_coding",4817695,"Elba1",1,"ortholog_one2one","Elba1","CG12205","protein_coding","Early boundary activity 1"
"77","FBgn0000228","LOC4817332","","protein_coding",4817332,"Nin",1,"ortholog_one2one","Nin","CG14025","protein_coding","Ninein"
"78","FBgn0000229","LOC26533386","","protein_coding",26533386,"bsk",0,"ortholog_one2one","bsk","CG5680","protein_coding","basket"
"79","FBgn0000233","LOC6901056","","protein_coding",6901056,"btd",1,"ortholog_one2one","btd","CG12653","protein_coding","buttonhead"
"80","FBgn0000239","LOC4818100","","protein_coding",4818100,"bur",1,"ortholog_one2one","bur","CG9242","protein_coding","burgundy"
"81","FBgn0000241",NA,NA,NA,NA,NA,NA,NA,"bw","CG17632","protein_coding","brown"
"82","FBgn0000244","LOC6897644","","protein_coding",6897644,"by",1,"ortholog_one2one","by","CG9379","protein_coding","blistery"
"83","FBgn0000246","LOC6897006","","protein_coding",6897006,"c(3)G",0,"ortholog_one2one","c(3)G","CG17604","protein_coding","crossover suppressor on 3 of Gowen"
"84","FBgn0000247","LOC6897401","","protein_coding",6897401,"ca",1,"ortholog_one2one","ca","CG31037","protein_coding","claret"
"85","FBgn0000250","LOC4817779","","protein_coding",4817779,"cact",1,"ortholog_one2one","cact","CG5848","protein_coding","cactus"
"86","FBgn0000251","LOC4817103","","protein_coding",4817103,"cad",1,"ortholog_one2one","cad","CG1759","protein_coding","caudal"
"87","FBgn0000253","LOC6898181","","protein_coding",6898181,"Cam",1,"ortholog_one2one","Cam","CG8472","protein_coding","Calmodulin"
"88","FBgn0000256","LOC6902849","","protein_coding",6902849,"capu",1,"ortholog_many2many","capu","CG3399","protein_coding","cappuccino"
"89","FBgn0000257","LOC4815130","","protein_coding",4815130,"car",1,"ortholog_one2one","car","CG12230","protein_coding","carnation"
"90","FBgn0000259","LOC6901386","","protein_coding",6901386,"CkIIbeta",1,"ortholog_one2one","CkIIbeta","CG15224","protein_coding","Casein kinase II beta subunit"
"91","FBgn0000261","LOC4813007","","protein_coding",4813007,"Cat",1,"ortholog_one2one","Cat","CG6871","protein_coding","Catalase"
"92","FBgn0000273","LOC4817464","","protein_coding",4817464,"Pka-C1",1,"ortholog_one2one","Pka-C1","CG4379","protein_coding","Protein kinase, cAMP-dependent, catalytic subunit 1"
"93","FBgn0000274","LOC4800307","","protein_coding",4800307,"Pka-C2",1,"ortholog_one2one","Pka-C2","CG12066","protein_coding","Protein kinase, cAMP-dependent, catalytic subunit 2"
"94","FBgn0000276","LOC6896734","","protein_coding",6896734,"CecA1",1,"ortholog_one2many","CecA1","CG1365","protein_coding","Cecropin A1"
"95","FBgn0000277","LOC6896734","","protein_coding",6896734,"CecA2",1,"ortholog_one2many","CecA2","CG1367","protein_coding","Cecropin A2"
"96","FBgn0000278","LOC6896732","","protein_coding",6896732,"CecB",0,"ortholog_many2many","CecB","CG1878","protein_coding","Cecropin B"
"97","FBgn0000278","LOC6896733","","protein_coding",6896733,"CecB",0,"ortholog_many2many","CecB","CG1878","protein_coding","Cecropin B"
"98","FBgn0000278","LOC6896731","","protein_coding",6896731,"CecB",0,"ortholog_many2many","CecB","CG1878","protein_coding","Cecropin B"
"99","FBgn0000279","LOC6896733","","protein_coding",6896733,"CecC",1,"ortholog_many2many","CecC","CG1373","protein_coding","Cecropin C"
"100","FBgn0000279","LOC6896732","","protein_coding",6896732,"CecC",1,"ortholog_many2many","CecC","CG1373","protein_coding","Cecropin C"
"101","FBgn0000279","LOC6896731","","protein_coding",6896731,"CecC",1,"ortholog_many2many","CecC","CG1373","protein_coding","Cecropin C"
"102","FBgn0000280",NA,NA,NA,NA,NA,NA,NA,"Cec-Psi1","CR32926","pseudogene","Cecropin pseudogene 1"
"103","FBgn0000281",NA,NA,NA,NA,NA,NA,NA,"Cec2","CR32934","pseudogene","Cecropin 2"
"104","FBgn0000283","LOC4803100","","protein_coding",4803100,"Cp190",1,"ortholog_one2one","Cp190","CG6384","protein_coding","Centrosomal protein 190kD"
"105","FBgn0000286",NA,NA,NA,NA,NA,NA,NA,"Cf2","CG11924","protein_coding","Chorion factor 2"
"106","FBgn0000287","LOC4817213","","protein_coding",4817213,"salr",1,"ortholog_one2one","salr","CG4881","protein_coding","spalt-related"
"107","FBgn0000289","LOC4801113","","protein_coding",4801113,"cg",0,"ortholog_one2one","cg","CG8367","protein_coding","combgap"
"108","FBgn0000299","LOC4816641","","protein_coding",4816641,"Col4a1",1,"ortholog_one2one","Col4a1","CG4145","protein_coding","Collagen type IV alpha 1"
"109","FBgn0000303","LOC4801339","","protein_coding",4801339,"ChAT",0,"ortholog_one2one","ChAT","CG12345","protein_coding","Choline acetyltransferase"
"110","FBgn0000307","LOC4817485","","protein_coding",4817485,"chif",1,"ortholog_one2one","chif","CG5813","protein_coding","chiffon"
"111","FBgn0000308","LOC4818147","","protein_coding",4818147,"chic",1,"ortholog_one2one","chic","CG9553","protein_coding","chickadee"
"112","FBgn0000316","LOC4816079","","protein_coding",4816079,"cin",1,"ortholog_one2one","cin","CG2945","protein_coding","cinnamon"
"113","FBgn0000317","LOC4818109","","protein_coding",4818109,"ck",1,"ortholog_one2one","ck","CG7595","protein_coding","crinkled"
"114","FBgn0000318","LOC4818018","","protein_coding",4818018,"cl",1,"ortholog_one2one","cl","CG11024","protein_coding","clot"
"115","FBgn0000319","LOC4811773","","protein_coding",4811773,"Chc",0,"ortholog_one2one","Chc","CG9012","protein_coding","Clathrin heavy chain"
"116","FBgn0000320","LOC4818017","","protein_coding",4818017,"eya",1,"ortholog_one2one","eya","CG9554","protein_coding","eyes absent"
"117","FBgn0000326","LOC6898305","","protein_coding",6898305,"clt",0,"ortholog_one2one","clt","CG9858","protein_coding","cricklet"
"118","FBgn0000330","LOC4814604","","protein_coding",4814604,"cm",1,"ortholog_one2one","cm","CG3035","protein_coding","carmine"
"119","FBgn0000337",NA,NA,NA,NA,NA,NA,NA,"cn","CG1555","protein_coding","cinnabar"
"120","FBgn0000339","LOC4817758","","protein_coding",4817758,"cni",1,"ortholog_one2one","cni","CG5855","protein_coding","cornichon"
"121","FBgn0000346","LOC6901871","","protein_coding",6901871,"comt",1,"ortholog_one2one","comt","CG1618","protein_coding","comatose"
"122","FBgn0000351","LOC4816193","","protein_coding",4816193,"cort",1,"ortholog_one2one","cort","CG11330","protein_coding","cortex"
"123","FBgn0000352","LOC4803492","","protein_coding",4803492,"cos",1,"ortholog_one2one","cos","CG1708","protein_coding","costa"
"124","FBgn0000355","LOC4812718","","protein_coding",4812718,"Cp15",1,"ortholog_one2one","Cp15","CG6519","protein_coding","Chorion protein 15"
"125","FBgn0000356","LOC4812716","","protein_coding",4812716,"Cp16",1,"ortholog_one2one","Cp16","CG6533","protein_coding","Chorion protein 16"
"126","FBgn0000357","LOC4812719","","protein_coding",4812719,"Cp18",1,"ortholog_one2one","Cp18","CG6517","protein_coding","Chorion protein 18"
"127","FBgn0000358","LOC4812717","","protein_coding",4812717,"Cp19",1,"ortholog_one2one","Cp19","CG6524","protein_coding","Chorion protein 19"
"128","FBgn0000359","LOC4815150","","protein_coding",4815150,"Cp36",1,"ortholog_one2one","Cp36","CG1478","protein_coding","Chorion protein 36"
"129","FBgn0000360","LOC4815092","","protein_coding",4815092,"Cp38",1,"ortholog_one2one","Cp38","CG11213","protein_coding","Chorion protein 38"
"130","FBgn0000370","LOC6902604","","protein_coding",6902604,"crc",1,"ortholog_one2one","crc","CG8669","protein_coding","cryptocephal"
"131","FBgn0000376","LOC4815353","","protein_coding",4815353,"crm",1,"ortholog_one2one","crm","CG2714","protein_coding","cramped"
"132","FBgn0000377","LOC6901837","","protein_coding",6901837,"crn",1,"ortholog_one2one","crn","CG3193","protein_coding","crooked neck"
"133","FBgn0000382","LOC6901166","","protein_coding",6901166,"csw",0,"ortholog_one2one","csw","CG3954","protein_coding","corkscrew"
"134","FBgn0000384","LOC6902762","","protein_coding",6902762,"cta",0,"ortholog_one2one","cta","CG17678","protein_coding","concertina"
"135","FBgn0000392","LOC6902355","","protein_coding",6902355,"cup",1,"ortholog_one2one","cup","CG11181","protein_coding","cup"
"136","FBgn0000394","LOC4814575","","protein_coding",4814575,"cv",1,"ortholog_one2one","cv","CG12410","protein_coding","crossveinless"
"137","FBgn0000395","LOC4805716","","protein_coding",4805716,"cv-2",1,"ortholog_one2one","cv-2","CG15671","protein_coding","crossveinless 2"
"138","FBgn0000404","LOC4811997","","protein_coding",4811997,"CycA",0,"ortholog_one2one","CycA","CG5940","protein_coding","Cyclin A"
"139","FBgn0000405","LOC6896812","","protein_coding",6896812,"CycB",0,"ortholog_one2many","CycB","CG3510","protein_coding","Cyclin B"
"140","FBgn0000405","LOC4803852","","protein_coding",4803852,"CycB",0,"ortholog_one2many","CycB","CG3510","protein_coding","Cyclin B"
"141","FBgn0000405","LOC6902947","","protein_coding",6902947,"CycB",0,"ortholog_one2many","CycB","CG3510","protein_coding","Cyclin B"
"142","FBgn0000406","LOC4817417","","protein_coding",4817417,"Cyt-b5-r",1,"ortholog_one2one","Cyt-b5-r","CG13279","protein_coding","Cytochrome b5-related"
"143","FBgn0000411","LOC4813823","","protein_coding",4813823,"D",1,"ortholog_one2one","D","CG5893","protein_coding","Dichaete"
"144","FBgn0000412","LOC4802726","","protein_coding",4802726,"D1",0,"ortholog_one2one","D1","CG9745","protein_coding","D1 chromosomal protein"
"145","FBgn0000414","LOC4812251","","protein_coding",4812251,"Dab",1,"ortholog_one2one","Dab","CG9695","protein_coding","Disabled"
"146","FBgn0000416","LOC4800324","","protein_coding",4800324,"Sap-r",1,"ortholog_one2one","Sap-r","CG12070","protein_coding","Saposin-related"
"147","FBgn0000422","LOC4811696","","protein_coding",4811696,"Ddc",1,"ortholog_one2one","Ddc","CG10697","protein_coding","Dopa decarboxylase"
"148","FBgn0000426","LOC4803687","","protein_coding",4803687,"SmF",1,"ortholog_one2one","SmF","CG16792","protein_coding","Small ribonucleoprotein particle protein SmF"
"149","FBgn0000427","LOC6901818","","protein_coding",6901818,"dec",1,"ortholog_one2one","dec","CG2175","protein_coding","defective chorion"
"150","FBgn0000439","LOC4802257","","protein_coding",4802257,"Dfd",0,"ortholog_one2one","Dfd","CG2189","protein_coding","Deformed"
"151","FBgn0000442","LOC4817545","","protein_coding",4817545,"Pkg21D",1,"ortholog_one2one","Pkg21D","CG3324","protein_coding","Protein kinase, cGMP-dependent at 21D"
"152","FBgn0000447","LOC4802026","","protein_coding",4802026,"Dhod",1,"ortholog_one2one","Dhod","CG9741","protein_coding","Dihydroorotate dehydrogenase"
"153","FBgn0000448",NA,NA,NA,NA,NA,NA,NA,"Hr3","CG33183","protein_coding","Hormone receptor 3"
"154","FBgn0000449","LOC4813322","","protein_coding",4813322,"dib",1,"ortholog_one2one","dib","CG12028","protein_coding","disembodied"
"155","FBgn0000451","LOC4813231","","protein_coding",4813231,"ect",1,"ortholog_one2one","ect","CG6611","protein_coding","ectodermal"
"156","FBgn0000454","LOC4801875","","protein_coding",4801875,"Dip-B",0,"ortholog_one2one","Dip-B","CG9285","protein_coding","Dipeptidase B"
"157","FBgn0000455","LOC4800827","","protein_coding",4800827,"Dip-C",1,"ortholog_one2one","Dip-C","CG5663","protein_coding","Dipeptidase C"
"158","FBgn0000459","LOC4814779","","protein_coding",4814779,"disco",1,"ortholog_one2one","disco","CG9908","protein_coding","disconnected"
"159","FBgn0000463","LOC4803249","","protein_coding",4803249,"Delta",1,"ortholog_one2one","Delta","CG3619","protein_coding","Delta"
"160","FBgn0000464","LOC6902405","","protein_coding",6902405,"Lar",0,"ortholog_one2one","Lar","CG10443","protein_coding","Leukocyte-antigen-related-like"
"161","FBgn0000473","LOC4803409","","protein_coding",4803409,"Cyp6a2",1,"ortholog_one2one","Cyp6a2","CG9438","protein_coding","Cytochrome P450 6a2"
"162","FBgn0000477","LOC4803163","","protein_coding",4803163,"DNaseII",1,"ortholog_one2one","DNaseII","CG7780","protein_coding","Deoxyribonuclease II"
"163","FBgn0000479",NA,NA,NA,NA,NA,NA,NA,"dnc","CG32498","protein_coding","dunce"
"164","FBgn0000482","LOC4815465","","protein_coding",4815465,"dor",1,"ortholog_one2one","dor","CG3093","protein_coding","deep orange"
"165","FBgn0000489","LOC6900498","","protein_coding",6900498,"Pka-C3",1,"ortholog_one2one","Pka-C3","CG6117","protein_coding","Protein kinase, cAMP-dependent, catalytic subunit 3"
"166","FBgn0000490","LOC4816479","","protein_coding",4816479,"dpp",1,"ortholog_one2one","dpp","CG9885","protein_coding","decapentaplegic"
"167","FBgn0000492","LOC4800483","","protein_coding",4800483,"Dr",1,"ortholog_one2one","Dr","CG1897","protein_coding","Drop"
"168","FBgn0000499","LOC4815303","","protein_coding",4815303,"dsh",1,"ortholog_one2one","dsh","CG18361","protein_coding","dishevelled"
"169","FBgn0000500","LOC4802776","","protein_coding",4802776,"Dsk",0,"ortholog_one2one","Dsk","CG18090","protein_coding","Drosulfakinin"
"170","FBgn0000504","LOC4802017","","protein_coding",4802017,"dsx",1,"ortholog_one2one","dsx","CG11094","protein_coding","doublesex"
"171","FBgn0000520",NA,NA,NA,NA,NA,NA,NA,"dwg","CG2711","protein_coding","deformed wings"
"172","FBgn0000524","LOC4816014","","protein_coding",4816014,"dx",1,"ortholog_one2one","dx","CG3929","protein_coding","deltex"
"173","FBgn0000527","LOC4800853","","protein_coding",4800853,"e",1,"ortholog_one2one","e","CG3331","protein_coding","ebony"
"174","FBgn0000529","LOC4816146","","protein_coding",4816146,"bsh",1,"ortholog_one2one","bsh","CG10604","protein_coding","brain-specific homeobox"
"175","FBgn0000533","LOC4801521","","protein_coding",4801521,"ea",1,"ortholog_one2one","ea","CG4920","protein_coding","easter"
"176","FBgn0000535","LOC6902148","","protein_coding",6902148,"eag",0,"ortholog_many2many","eag","CG10952","protein_coding","ether a go-go"
"177","FBgn0000536","LOC4815030","","protein_coding",4815030,"eas",1,"ortholog_one2one","eas","CG3525","protein_coding","easily shocked"
"178","FBgn0000541","LOC4812096","","protein_coding",4812096,"E(bx)",0,"ortholog_one2one","E(bx)","CG32346","protein_coding","Enhancer of bithorax"
"179","FBgn0000542","LOC6901553","","protein_coding",6901553,"ec",1,"ortholog_one2one","ec","CG2904","protein_coding","echinus"
"180","FBgn0000543","LOC4812981","","protein_coding",4812981,"ecd",1,"ortholog_one2one","ecd","CG5714","protein_coding","ecdysoneless"
"181","FBgn0000546","LOC6899016","","protein_coding",6899016,"EcR",1,"ortholog_one2one","EcR","CG1765","protein_coding","Ecdysone receptor"
"182","FBgn0000547","LOC4817240","","protein_coding",4817240,"ed",1,"ortholog_one2one","ed","CG12676","protein_coding","echinoid"
"183","FBgn0000551","LOC4813122","","protein_coding",4813122,"Edg78E",1,"ortholog_one2one","Edg78E","CG7673","protein_coding","Ecdysone-dependent gene 78E"
"184","FBgn0000552","LOC4802268","","protein_coding",4802268,"Edg84A",1,"ortholog_one2one","Edg84A","CG2345","protein_coding","Ecdysone-dependent gene 84A"
"185","FBgn0000557","LOC4801981","","protein_coding",4801981,"eEF1alpha2",1,"ortholog_one2one","eEF1alpha2","CG1873","protein_coding","eukaryotic translation elongation factor 1 alpha 2"
"186","FBgn0000559","LOC6902342","","protein_coding",6902342,"eEF2",0,"ortholog_one2one","eEF2","CG2238","protein_coding","eukaryotic translation elongation factor 2"
"187","FBgn0000560","LOC4812830","","protein_coding",4812830,"eg",1,"ortholog_one2one","eg","CG7383","protein_coding","eagle"
"188","FBgn0000562","LOC6898512","","protein_coding",6898512,"egl",0,"ortholog_one2one","egl","CG4051","protein_coding","egalitarian"
"189","FBgn0000564","LOC4801197","","protein_coding",4801197,"Eh",1,"ortholog_one2one","Eh","CG5400","protein_coding","Eclosion hormone"
"190","FBgn0000565","LOC4812849","","protein_coding",4812849,"MsrA",1,"ortholog_one2one","MsrA","CG7266","protein_coding","Methionine sulfoxide reductase A"
"191","FBgn0000566","LOC6899855","","protein_coding",6899855,"Cth",0,"ortholog_one2one","Cth","CG5345","protein_coding","Cystathionine gamma-lyase"
"192","FBgn0000567","LOC4813295","","protein_coding",4813295,"Eip74EF",1,"ortholog_one2one","Eip74EF","CG32180","protein_coding","Ecdysone-induced protein 74EF"
"193","FBgn0000568",NA,NA,NA,NA,NA,NA,NA,"Eip75B","CG8127","protein_coding","Ecdysone-induced protein 75B"
"194","FBgn0000575","LOC4812061","","protein_coding",4812061,"emc",1,"ortholog_one2one","emc","CG1007","protein_coding","extra macrochaetae"
"195","FBgn0000576","LOC4801654","","protein_coding",4801654,"ems",1,"ortholog_one2one","ems","CG2988","protein_coding","empty spiracles"
"196","FBgn0000577","LOC4803908","","protein_coding",4803908,"en",1,"ortholog_one2one","en","CG9015","protein_coding","engrailed"
